text,file_name,contextual_chunk
"{'date': 'May 9, 2024 | 7:00 am - 10:00 pm', 'description': 'To celebrate National Bike Month this May, BikePGH is showing appreciation for everyone who replaces a car trip with a bike commute!', 'category': 'Community,, Free event,, Outdoor,, Sports + Recreation', 'venue': 'Market Square', 'more_details': ""?? ? Everyone on a bicycle is invited to visit BikePGH's free Bike to Work Day Commuter Cafés in three locations (Downtown, Oakland, Strip District) on Thursday, May 9, 2024. Learn about cycling, meet bike commuters, enjoy complimentary breakfast, happy hour, and gifts when you become a BikePGH member."", 'event_name': 'Bike To Work Day 2024'}",combined_events,"BikePGH hosts free Bike to Work Day Commuter Cafés in Pittsburgh on May 9, offering breakfast, happy hour, and member benefits."
"{'date': 'May 8, 2024 | 11:00 am - 1:00 pm', 'description': ""Expand your knowledge and work on your playwriting skills from the playwright who adapted Khaled Hosseini's novel The Kite Runner"", 'category': 'Arts + Culture,, Free event,, Workshops & Classes', 'venue': 'New Hazlett Theater 6 Allegheny Square E Pittsburgh, PA 15222', 'more_details': ""With Matthew Spangler: Adapter of The Kite Runner FREE and no prior experience needed! Expand your knowledge and work on your playwriting skills from the playwright who adapted Khaled Hosseini's novel The Kite Runner for the Broadway stage and will be at the Benedum as a part of the PNC Broadway in Pittsburgh Series from May 7-12 2024. Tickets available to the Broadway performances here . Feel free to reach out to Kalee at george@trustarts.org with any questions you may have!"", 'event_name': 'The Kite Runner Playwriting Masterclass'}",combined_events,"A free playwriting workshop led by the Broadway adapter of The Kite Runner, featuring a masterclass with Matthew Spangler."
"{'date': 'May 8, 2024 | 6:00 pm - 8:00 pm', 'description': 'The Pittsburgh Guitar Pact is the dynamic guitar duo of John Marcinizyn and Daryl Shawn.', 'category': 'Free event,, Music', 'venue': 'Lounge at the Greer Cabaret 655 Penn Ave Pittsburgh, PA 15222', 'more_details': 'Together they perform their own dynamic original compositions, plus their own unique take on a wide variety of songs from jazz to folk and beyond. ', 'event_name': 'The Pittsburgh Guitar Pact'}",combined_events,The Pittsburgh Guitar Pact is a dynamic guitar duo performing original compositions and covers of various genres.
"{'date': 'May 8, 2024 | 12:30 pm - 3:30 pm', 'description': 'Healthcare Appreciation Night', 'category': 'Sports + Recreation', 'venue': 'PNC Park 115 Federal St Pittsburgh, PA 15222', 'more_details': '', 'event_name': 'Pirates vs. Angels'}",combined_events,Healthcare Appreciation Night at PNC Park featuring Pirates vs. Angels.
"{'date': 'May 7, 2024 | 6:30 pm - 9:30 pm', 'description': 'Healthcare Appreciation Night', 'category': 'Sports + Recreation', 'venue': 'PNC Park 115 Federal St Pittsburgh, PA 15222', 'more_details': '', 'event_name': 'Pirates vs. Angels'}",combined_events,Healthcare Appreciation Night at PNC Park featuring Pirates vs. Angels.
"{'date': 'May 6, 2024 | 6:30 pm - 9:30 pm', 'description': 'Healthcare Appreciation Night', 'category': 'Sports + Recreation', 'venue': 'PNC Park 115 Federal St Pittsburgh, PA 15222', 'more_details': '', 'event_name': 'Pirates vs. Angels'}",combined_events,Healthcare Appreciation Night at PNC Park featuring Pirates vs. Angels.
"{'date': 'May 8, 2024 | 5:30 pm - 8:00 pm', 'description': 'Enjoy a variety of live music genres every Wednesday in the Hearth!', 'category': 'Entertainment,, Music', 'venue': 'Rivers Club 301 Grant St Ste 411 Pittsburgh, PA 15219', 'more_details': '', 'event_name': 'Live Music with Danny Mac'}",combined_events,Live Music with Danny Mac event at Rivers Club on Wednesdays from 5:30 pm to 8:00 pm.
"{'date': 'May 8, 2024 | 6:30 pm - 10:00 pm', 'description': 'Featuring AJJ and Greet Death', 'category': 'Music,, Outdoor', 'venue': 'Stage AE 400 N Shore Dr Pittsburgh, PA 15222', 'more_details': '', 'event_name': 'Say Anything'}",combined_events,"Say Anything is an outdoor music event featuring AJJ and Greet Death scheduled for May 8, 2024 from 6:30 pm to 10:00 pm at Stage AE 400 N Shore Dr Pittsburgh, PA 15222."
"{'date': 'May 8, 2024 | 6:00 pm - 8:00 pm', 'description': 'The historical background on an important corner of European Jewry.', 'category': 'Community,, Workshops & Classes', 'venue': 'Heinz History Center 1212 Smallman Street Pittsburgh, PA 15222', 'more_details': 'Tammy Hepps will give an overview to the history of the region that has since 1991 comprised the country of Ukraine. She will explain the centuries of competition between powerful empires to dominate this region and the effects of this competition on the ethnic minorities caught in the middle. Within this context she will situate the experiences of your ancestors—both the revolutions in Jewish thought and practice they innovated, as well as the discrimination and violence that led to their mass emigration. This program is possible through the generous support of the William M. Lowenstein Genealogical Research Endowment Fund of the Jewish Community Foundation. “Putting Your Family in Context: The History of Ukraine’s Jews” is a collaboration between the Jewish Genealogy Society of Pittsburgh and the Rauh Jewish Archives at the Heinz History Center. Please register online. The program is free for JGS-Pittsburgh members and $5 for the general public. To become a member of the JGS-Pittsburgh and receive a free membership code for this program, please visit its website . This program will be recorded and made available to current JGS-Pittsburgh members.  Tammy Hepps is a historian of the Jewish experience in Western Pennsylvania. She combines in-depth historical research with techniques from technology and genealogy to reconstruct overlooked stories from the past in an engaging way. She has presented her findings around the world, including the Library of Congress and the International Jewish Genealogy Conference in Jerusalem. Her best-known research is into the history of the Jewish community in the former steel-making center of Homestead, PA (see HomesteadHebrews.com). Tammy earned her AB in computer science from Harvard and is a Wexner Heritage Fellow. ', 'event_name': ""Putting Your Family in Context: The History of Ukraine's Jews""}",combined_events,"A workshop on the history of Ukraine's Jews, focusing on their innovations and the discrimination leading to their mass emigration, presented by Tammy Hepps."
"{'date': 'May 8, 2024 | 6:30 pm - 7:30 pm', 'description': 'Get the inside scoop on the PNC Broadway in Pittsburgh performances with Creative Conversations presented by the Trust Arts Education Department.', 'category': 'Arts + Culture,, Workshops & Classes', 'venue': 'Trust Arts Education Center 807 Liberty Ave Pittsburgh, PA 15222', 'more_details': 'Join us as we chat with company members, production team members or other theater professionals for a special conversation that will help you prepare for the show. Creative Conversations are held one hour before select performances. Admission is free and all are welcome.', 'event_name': 'Creative Conversations - The Kite Runner'}",combined_events,"Creative Conversations, presented by Trust Arts Education Department, offers a free hour-long discussion with theater professionals before select PNC Broadway in Pittsburgh performances."
