text,contextual_chunk
"{'date': 'Feb 10, 2024 | 7:00 pm - 10:00 pm', 'description': 'Featuring LYNY, WINK, and Joey Darker', 'category': 'Entertainment,, Music', 'venue': 'Stage AE 400 N Shore Dr Pittsburgh, PA 15222', 'more_details': '', 'event_name': 'PEEKABOO - Eyes Wide Open Tour'}","The document announces an entertainment event called ""PEEKABOO - Eyes Wide Open Tour"" featuring artists LYNY, WINK, and Joey Darker, scheduled for February 10, 2024 from 7:00 pm to 10:00 pm at Stage AE 400 N Shore Dr Pittsburgh, PA 15222."
"{'date': 'Feb 10, 2024 | 6:00 pm - 9:00 pm', 'description': '', 'category': 'Entertainment,, Holidays,, Music', 'venue': 'Revel 242 Forbes Ave Pittsburgh, PA 15222', 'more_details': '', 'event_name': ""Twan Moore - Valentine's""}","Twan Moore's Valentine's concert at Revel 242 in Pittsburgh, PA."
"{'date': 'Feb 10, 2024 | 9:00 am - 12:00 pm', 'description': 'This active workshop will offer practical information for educators interested in making their early childhood classrooms more active and engaging by including the arts in circle time and throughout the day.', 'category': 'Arts + Culture,, Workshops & Classes', 'venue': 'Trust Arts Education Center 807 Liberty Ave Pittsburgh, PA 15222', 'more_details': 'Educators will: participate in child-centered story extension, including several domains of the performing arts; address emerging literacy skills through the use of decoding, recall, sequencing, patterning, phonemic awareness and prosody; explore rhythm basics with simple instruments and large motor activity; apply the basics of pitch, beat, and singing in tune to music in movement activities with young children; utilize important concepts of movement, including personal and general space, to help children move safely and creatively in the classroom; apply developmentally appropriate math concepts to the music and movement activities. Breakfast provided and Act 48 and PQAS credits available.', 'event_name': 'Jump Off the Page! Using Music and Movement to Make Picture Books Come Alive'}","A workshop offering practical information on incorporating the arts into early childhood education, focusing on making picture books come alive through music and movement."
"{'date': 'Feb 10, 2024 | 10:00 am - 12:00 pm', 'description': 'Discover African American history with a brand-new lens – literally!', 'category': 'Community,, Family', 'venue': 'Trust Arts Education Center 807 Liberty Ave Pittsburgh, PA 15222', 'more_details': '', 'event_name': 'In Living Color: African American Colorized History Virtual Reality Experience'}",African American history experience using virtual reality technology.
"{'date': 'Feb 10, 2024 | 9:00 pm - 1:00 am', 'description': 'Singles Only, the 3rd Annual Event featuring sweet-themed cocktails, and spicy singles of the city! Old-school jams, new-school connections!', 'category': 'Holidays,, Nightlife', 'venue': 'Sienna Mercato 942 Penn Ave Pittsburgh, PA 15222', 'more_details': ""Indulge in the ultimate Anti-Valentine's Day bash , curated exclusively for the city's fabulous singles, proudly sponsored by Maker's Mark & Friends! ?? ? Dress Code: ? Music Magic: ? Themed Cocktails: ? Photo Ops Galore: ? Rewriting the Narrative: ? Secure Your Spot:"", 'event_name': ""SINGLE'S ONLY - Early 2000's Edition""}","Singles Only is an annual Valentine's Day event featuring sweet-themed cocktails and old-school music, hosted by Maker's Mark and Friends in Pittsburgh."
"{'event_name': 'Step Into Success - 2024 PRSSA Student Conference', 'date': 'Feb 10, 2024', 'description': 'A student-run, student-focused conference that provides attendees with two days of meaningful speaker sessions, agency tours, & networking.'}","A student-run conference offering two days of speaker sessions, agency tours, and networking."
"{'date': 'Feb 10, 2024 - Feb 11, 2024', 'description': 'The Nike Steel City Freeze Boys Championships is a two day event hosted by GK Sports.', 'category': 'Convention,, Sports + Recreation', 'venue': 'David L. Lawrence Convention Center 1000 Fort Dusquene Boulevard Pittsburgh, PA 15222', 'more_details': '', 'event_name': '2024 Nike Steel City Freeze Boys Championships'}","Nike Steel City Freeze Boys Championships is a two-day event held at the David L. Lawrence Convention Center in Pittsburgh, Pennsylvania."
"{'date': 'Feb 10, 2024 | 9:00 pm - 10:30 pm', 'description': '', 'category': 'Entertainment,, Nightlife', 'venue': 'Arcade Comedy Theater 943 Liberty Ave Pittsburgh, PA 15222', 'more_details': '', 'event_name': ""Chris & Matty's Champagne Social Club""}",A social club event featuring Chris and Matty at the Arcade Comedy Theater in Pittsburgh.
"{'date': 'Mar 9, 2024 | 9:00 pm - 10:30 pm', 'description': '', 'category': 'Entertainment,, Nightlife', 'venue': 'Arcade Comedy Theater 943 Liberty Ave Pittsburgh, PA 15222', 'more_details': '', 'event_name': ""Chris & Matty's Champagne Social Club""}","A comedy club event called Chris & Matty's Champagne Social Club scheduled for March 9, 2024, from 9:00 pm to 10:30 pm at Arcade Comedy Theater in Pittsburgh, PA."
"{'date': 'May 11, 2024 | 9:00 pm - 10:30 pm', 'description': 'Looking to relax? Have a drink, kick your feet up, and just laugh that fine A** off? Well, then, look no further than the smooth and sultry vibes of Chris & Matty’s Champagne Social Club!', 'category': 'Entertainment,, Nightlife', 'venue': 'Arcade Comedy Theater 943 Liberty Ave Pittsburgh, PA 15222', 'more_details': 'A variety show that blends together the magic of the speakeasy experience with the smokey and tantalizing atmosphere of your favorite comedy show. Join your hosts Chris Duvall & Matty Frances as you journey through a night of comedy and music that only happens once and only happens here.', 'event_name': ""Chris & Matty's Champagne Social Club""}","Chris & Matty's Champagne Social Club is a comedy show featuring a speakeasy vibe and music, held at Arcade Comedy Theater in Pittsburgh."
