section,text
Design -> Exterior -> Entrances and colonnades,"The building had entrances from all four sides. The main entrance was at the intersection of Seventh Avenue and 32nd Street, at the center of the Seventh Avenue facade. It was the most elaborate of Penn Station's entrances. Above the center of the entrance, 61 feet (19 m) above the sidewalk, was a clock with 7-foot-diameter (2.1 m) faces. Two plaques were placed above the arcade entrance. One plaque contained inscriptions of the names of individuals who had led the New York Tunnel Extension project, while the other included carvings of franchise dates and the names of contractors.
Twin 63-foot-wide (19 m) carriageways at the northeast and southeast corners, modeled after Berlin's Brandenburg Gate, led to the two railroads served by the station. One carriageway ran along the north side of the building, serving LIRR trains, while the other the south side served PRR trains. The walls of each carriageway were flanked by pilasters for a distance of 279 feet (85 m). Ramps spanned the carriageways and led into the waiting room and concourse. The carriageways descended to the exit concourse at the middle of the station. From there, vehicles could travel to the baggage drop on the eastern end or return to Seventh Avenue. A separate passageway along the south side of the station carried baggage to the Eighth Avenue end of the station.
An open colonnade was used along the north, east, and south facades. The entirety of the east facade had a Doric-style colonnade. The easternmost portions of the north and south facades, adjacent to the carriageways, also contained 230-foot-wide (70 m) colonnades. Each column measured 35 feet (11 m) high by 4.5 feet (1.4 m) across. The remainder of the facade contained pilasters rather than columns. An approximately 45-foot-wide (14 m) section of the Eighth Avenue facade was divided into three large openings, which comprised a large rear entrance to the main concourse.
The station contained four pairs of sculptures designed by Adolph Weinman, each of which consists of two female personifications, Day and Night. These sculptural pairs, whose figures were based on model Audrey Munson, flanked large clocks on the top of each side of the building. Day was depicted with a garland of sunflowers in her hand, looking down at passengers, while Night was depicted with a serious expression and a cloak over her head. The Day and Night sculptures were each accompanied by two small stone eagles. There were also 14 larger, freestanding stone eagles placed on Penn Station's exterior."
Design -> Interior -> Entrance arcade,"The main entrance on Seventh Avenue led to a shopping arcade that led westward into the station. The arcade measured 45 feet (14 m) wide by 225 feet (69 m) long, with a similar width to 32nd Street. Cassatt modeled the arcade after those in Milan and Naples, filling it with high-end boutiques and shops. The stores were included because Cassatt wanted to give passengers a cultural experience upon their arrival in New York. At the western end of the arcade, a statue of Alexander Johnston Cassatt stood in a niche on the northern wall where 40-foot-wide (12 m) stairs descended to a waiting room where passengers could wait for their trains. There was also a statue of PRR president Samuel Rea directly across from Cassatt's statue, on the southern wall, which was installed in 1930."
Design -> Interior -> Main waiting room,"The expansive waiting room, which spanned Penn Station's entire length from 31st to 33rd Streets, contained traveler amenities such as long benches, men's and women's smoking lounges, newspaper stands, telephone and telegraph booths, and baggage windows. The main waiting room was inspired by Roman structures such as the baths of Caracalla, Diocletan, and Titus. The room measured 314 feet 4 inches (95.81 m) long, 108 feet 8 inches (33.12 m) wide, and 150 feet (46 m) tall. Additional waiting rooms for men and women, each measuring 100 by 58 feet (30 by 18 m), were on either side of the main waiting room.
The room approximated the scale of St. Peter's Basilica in Rome. The lower walls were of travertine, while the upper walls were expressed in a steel framework clad in plaster, decorated to resemble the lower walls. The travertine was sourced from Campagna in Italy. This made Penn Station the first major American building to use travertine. The north and south walls each contained small colonnades of six Ionic columns, which flanked the staircases on those walls. There were also larger Corinthian columns on pedestals, measuring about 60 feet (18 m) tall from the tops of the pedestals to the tops of the capitals. There were eight lunette windows on top of the waiting room's walls: one each above the north and south walls and three each above the west and east walls. The lunettes had a radius of 38 feet 4 inches (11.68 m). 
The artist Jules Guérin was commissioned to create six murals for Penn Station's waiting room. Each of his works were over 100 feet (30 m) high, placed above the tops of the Corinthian columns. The murals themselves measured 25 feet (7.6 m) tall and 70 feet (21 m) across. They contained maps depicting the extent of the PRR system."
Design -> Interior -> Concourses,"Penn Station was one of the first rail stations to separate arriving and departing passengers on two concourses. Directly adjoining the waiting room was the main concourse area for departing passengers, with stairs directly to each platform. The floor area of the main concourse was variously cited as having floor measurements of 314.33 by 200 feet (95.81 by 60.96 m) or 208 by 315 feet (63 by 96 m). This concourse was covered by glass vaults that were held up by a plain steel framework. The glass roof measured 210 by 340 feet (64 by 104 m). McKim wanted to give ""an appropriate transition"" between the decorated nature of the waiting room and the utilitarian design of the tracks below. After the general shape of the vaults was determined, Purdy and Henderson designed the steelwork. The steel frame was less heavy at the top.

LIRR commuters could also use an entrance on the northern side, along 34th Street. The LIRR commuter concourse was 18 feet (5.5 m) above the tracks. There was an additional mezzanine level below the main concourse and waiting room for arriving passengers; it contained two smaller concourses, one for each railroad. The smaller northern mezzanine, used by the LIRR, connected to the LIRR platforms via short stairs and to the 34th Street entrance via escalators. The smaller southern mezzanine, used by the PRR, contained stairs and elevators between the PRR platforms and the level of the main concourse and waiting room.
Running from north to south was a separate exit concourse, measuring 60 feet (18 m) wide. This concourse led to both 31st and 33rd Streets and was subsequently connected to the subway stations on Seventh and Eighth Avenues. Two stairways and one elevator led to the exit concourse from each platform."
Design -> Interior -> Platforms and tracks,"The tracks were variously cited as being 36 feet (11 m) or 45 feet (14 m) below ground. At platform level, there were 21 tracks serving 11 platforms. LIRR trains had exclusive use of the station's northernmost four tracks, while the PRR was exclusively assigned the southernmost tracks. The two railroads shared the center tracks as necessary. An estimated 4 miles (6.4 km) of storage tracks in and around the station could store up to 386 railcars. The station contained 25 elevators for baggage and passenger use. The storage yards were located between Ninth and Tenth Avenues in a cut that was later covered and built over. The structure above it was supported by 650 steel columns, each supporting a weight of up to 1,658 short tons (1,480 long tons; 1,504 t).
East of the station, tracks 5–21 merged into two three-track tunnels, which then merged into the East River Tunnels' four tracks. West of the station, at approximately Ninth Avenue, all 21 tracks merged into the North River Tunnels' two tracks. Tracks 1–4, the station's southernmost tracks, terminated at bumper blocks at the east end of the station, so they could only be used by trains from New Jersey. Four switch towers, lettered from A to D, controlled train movements around the station. The main switch tower was Tower A, located between Eighth and Ninth Avenues; it still exists, although it is now located below the Farley Post Office."
History -> Planning -> Early proposals,"Many proposals for a cross-Hudson connection were advanced in the late 19th century, but financial panics in the 1870s and 1890s scared off potential investors. In any event, none of the proposals advanced during this time were considered feasible. The PRR considered building a rail bridge across the Hudson, but the state of New York insisted that a cross-Hudson bridge had to be a joint project with other New Jersey railroads, which were not interested. The alternative was to tunnel under the river, but steam locomotives could not use such a tunnel due to the accumulation of pollution in a closed space, and the New York State Legislature prohibited steam locomotives in Manhattan after July 1, 1908.
The idea of a Midtown Manhattan railroad hub was first formulated in 1901, when the Pennsylvania Railroad took interest in a new railroad approach recently completed in Paris. In the Parisian railroad scheme, electric locomotives were substituted for steam locomotives prior to the final approach into the city. Cassatt adapted this method for the New York City area in the form of the New York Tunnel Extension project. He created and led the overall planning effort for it. The PRR, which had been working with the Long Island Rail Road (LIRR) on the Tunnel Extension plans, made plans to acquire majority control of the LIRR so one new terminal could be built in Manhattan, rather than two. The project was to include New York Penn Station; the North River Tunnels, crossing the Hudson River to the west; and the East River Tunnels, crossing the East River to the east. Cassatt's vision for the terminal itself was inspired by the Gare d'Orsay, a Beaux-Arts style station in Paris.  
The original proposal for the station, which was published in June 1901, called for the construction of a bridge across the Hudson River between 45th and 50th Streets in Manhattan, as well as two closely spaced terminals for the LIRR and PRR. This would allow passengers to travel between Long Island and New Jersey without having to switch trains. In December 1901, the plans were modified so that the PRR would construct the North River Tunnels under the Hudson River, instead of a bridge over it. The PRR cited costs and land value as a reason for constructing a tunnel rather than a bridge, since the cost of a tunnel would be one-third that of a bridge. The New York Tunnel Extension was quickly opposed by the New York City Board of Rapid Transit Commissioners who objected that they would not have jurisdiction over the new tunnels, as well as from the Interborough Rapid Transit Company, which saw the New York Tunnel Extension as a potential competitor to its as-yet-incomplete rapid transit service. The city had initially declined to give the PRR a franchise because city officials believed that the PRR needed to grant thirteen concessions to protect city interests; the PRR ultimately conceded to nine of the city's requests. The project was approved by the New York City Board of Aldermen in December 1902 by a 41–36 vote."
History -> Planning -> Approved plans,"In April 1902, Cassatt sent a telegram to Charles McKim of the New York architectural firm McKim, Mead & White. According to one account, when McKim received the telegram, he said: ""I suppose President Cassatt wants a new stoop for his house"". After McKim talked with Cassatt, the architect learned that he had received the commission for the new Pennsylvania Station. McKim was pleased to receive the commission, writing to his friend Daniel Burnham, who had congratulated him. The historian Mosette Broderick wrote that McKim faced an ""internal conflict"" because Burnham and Cassatt had collaborated on the development of Chicago Union Station, which indicated that Cassatt had some type of ""loyalty"" to Burnham. McKim may have received the commission for New York Penn Station because of his friendship with Daniel Smith Newhall, the PRR's purchasing agent, who had praised McKim's work.
The plans approved in December 1902 called for an ""immense passenger station"" on the east side of Eighth Avenue between 31st and 33rd Streets in Manhattan. The project was expected to cost over $100 million. Though the tracks were to be entirely underground, the plans had to resemble a typical railway station while also serving as a major gateway to New York City. The new design also had to compete with that of the new Grand Central Terminal, designed by Reed & Stem. McKim studied the role of public buildings in Ancient Rome, including the Baths of Diocletian. Cassatt and McKim collaborated closely to define the structure of the station. Their original plan called for a structure measuring 1,500 feet (460 m) long by 500 feet (150 m) wide, with three floors open to passengers and 25 tracks. Cassatt had wanted to build a hotel above the station, but McKim had dismissed the proposal, having been opposed to high-rise buildings. According to architectural writer Leland Roth, the absence of the hotel eliminated income that could have helped the station's preservation in later years.
As part of the station's construction, the PRR proposed that the United States Postal Service construct a post office across from the station on the west side of Eighth Avenue. In February 1903, the U.S. government accepted the PRR's proposal and made plans to construct what would later become the Farley Post Office, which was also designed by McKim, Mead & White. The PRR would also build a train storage yard in Queens east of Penn Station, to be used by both PRR trains from the west and LIRR trains from the east. The yard was to store passenger-train cars at the beginning or end of their trips, as well as to reverse the direction of the locomotives that pulled these train cars."
History -> Construction -> Land acquisition,"Land purchases for the station started in late 1901 or early 1902. The PRR purchased a site bounded by Seventh and Ninth Avenues between 31st and 33rd Streets. This site was chosen over other sites farther east, such as Herald Square, because these parts of Manhattan were already congested. Penn Station proper would be located along the eastern part of the site between Seventh and Eighth Avenue. The northwestern block, bounded by Eighth Avenue, Ninth Avenue, 32nd Street, and 33rd Street, was not part of the original plan.
The condemnation of 17 city-owned buildings on the station's future site, an area of four blocks, began in June 1903. All 304 parcels within the four-block area, which were collectively owned by between 225 and 250 entities, had been purchased by November 1903. The PRR purchased land west of Ninth Avenue in April 1904, such that it owned all the land between Seventh and Tenth Avenues from 31st to 33rd Street. This land would allow the PRR to build extra railroad switches for the tracks around Penn Station. The PRR also purchased land along the north side of the future station between 33rd and 34th Streets, so the company could create a pedestrian walkway leading directly to 34th Street, a major crosstown thoroughfare. The properties between 33rd and 34th Street that the PRR had purchased were transferred to PRR ownership in 1908. Clearing the site entailed ""displacing thousands of residents from the largely African-American community in what was once known as the Tenderloin district in Manhattan."""
History -> Construction -> Early work,"The details of the track layout were finalized by 1904. A $5 million contract to excavate the site was awarded that June, marking the start of the construction. Overall, some 500 buildings had to be demolished to make way for the station. By early 1905, contractors were installing granite in the station's lower levels, and an adjacent power station on 31st Street was finished. During this time, McKim's health began to decline as he experienced stress in his personal and professional life. McKim withdrew from the project in 1906 as his health worsened, and Richardson replaced him as lead architect.
Even as excavation proceeded, the federal government was still deciding whether to build a post office next to the PRR station. The PRR planned to turn over the air rights to the blocks between Eighth and Ninth Avenues to the federal government once excavations were completed. However, the PRR would still own the land below the post office leading some Congress members to oppose the post office plan, as they believed that the government would only own ""a chunk of space in the air"" above the tracks. The Postmaster of New York City, William Russell Willcox, ultimately approved the post office anyway. McKim, Mead & White was selected to design the post office in 1908. By this time, the excavations were near completion and the structural steel for the post office building was being laid."
History -> Construction -> Completion and opening,"The North River and East River Tunnels ran almost in a straight line between Queens and New Jersey, interrupted only by the proposed Pennsylvania Railroad station. The technology for the tunnels connecting to Penn Station was so innovative that the PRR shipped an actual 23-foot (7.0 m) diameter section of the new East River Tunnels to the Jamestown Exposition in Norfolk, Virginia, in 1907, to celebrate the 300th anniversary of the nearby founding of the colony at Jamestown. The same tube, with an inscription indicating that it had been displayed at the Exposition, was later installed under water and remains in use. Construction was completed on the Hudson River tunnels on October 9, 1906, and on the East River tunnels on March 18, 1908. Construction also progressed on Penn Station during this time. Workers began laying the stonework for the station in June 1908; they had completed it thirteen months later.
New York Penn Station was officially declared complete on August 29, 1910. A small portion of Penn Station was opened nearly two weeks later, on September 8, in conjunction with the opening of the East River Tunnels. As a result, LIRR riders gained direct railroad service to Manhattan. Prior to the opening of Penn Station, LIRR riders entered Manhattan via the 34th Street Ferry Terminal, where they could transfer to an elevated shuttle station. The rest of the station opened on November 27, 1910. One hundred thousand people visited the station during its first day of full service, excluding the 25,000 commuters and intercity riders. With the station's full opening, the PRR became the only railroad to enter New York City from the south. All of the architectural details were completed by October 1911.
At the station's completion, the total project cost to the Pennsylvania Railroad for the station and associated tunnels was $114 million (equivalent to $2.7 billion in 2023), according to an Interstate Commerce Commission report. The railroad paid tribute to Cassatt, who died in 1906, with a statue designed by Adolph Alexander Weinman in the station's grand arcade, subsequently moved to the Railroad Museum of Pennsylvania after the station's demolition. An inscription below it read:

Alexander Johnston Cassatt · President, Pennsylvania Railroad Company · 1899–1906 · Whose foresight, courage and ability achieved · the extension of the Pennsylvania Railroad System · into New York City"
