START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/22/25,,,Pirates at Orioles - Time TBD,Ed Smith Stadium - Sarasota,"",02/22/25,02/22/25,,,FALSE,TRUE,02/22/25,,,FREE,BUSY
02/23/25,,,Twins at Pirates - Time TBD,LECOM Park - Bradenton,"",02/23/25,02/23/25,,,FALSE,TRUE,02/23/25,,,FREE,BUSY
02/24/25,,,Pirates at Phillies - Time TBD,BayCare Ballpark - Clearwater,"",02/24/25,02/24/25,,,FALSE,TRUE,02/24/25,,,FREE,BUSY
02/25/25,,,Braves at Pirates - Time TBD,LECOM Park - Bradenton,"",02/25/25,02/25/25,,,FALSE,TRUE,02/25/25,,,FREE,BUSY
02/26/25,,,Orioles at Pirates - Time TBD,LECOM Park - Bradenton,"",02/26/25,02/26/25,,,FALSE,TRUE,02/26/25,,,FREE,BUSY
02/26/25,,,Pirates at Braves - Time TBD,CoolToday Park - North Port,"",02/26/25,02/26/25,,,FALSE,TRUE,02/26/25,,,FREE,BUSY
02/27/25,,,Pirates at Twins - Time TBD,Lee Health Sports Complex - Fort Myers,"",02/27/25,02/27/25,,,FALSE,TRUE,02/27/25,,,FREE,BUSY
02/28/25,,,Rays at Pirates - Time TBD,LECOM Park - Bradenton,"",02/28/25,02/28/25,,,FALSE,TRUE,02/28/25,,,FREE,BUSY
03/01/25,,,Pirates at Orioles - Time TBD,Ed Smith Stadium - Sarasota,"",03/01/25,03/01/25,,,FALSE,TRUE,03/01/25,,,FREE,BUSY
03/02/25,,,Tigers at Pirates - Time TBD,LECOM Park - Bradenton,"",03/02/25,03/02/25,,,FALSE,TRUE,03/02/25,,,FREE,BUSY
