section,text
Geography,Squirrel Hill is located at 40.438072°N 79.922972°W﻿ / 40.438072; -79.922972 and has two ZIP codes: 15217 and 15232.
Surrounding neighborhoods,"Squirrel Hill North has five borders with the Pittsburgh neighborhoods of Shadyside to the north, Point Breeze to the east, Squirrel Hill South to the south, Central Oakland to the southwest and North Oakland to the west.
Squirrel Hill South has nine land borders with the Pittsburgh neighborhoods of Squirrel Hill North to the north and northwest, Point Breeze to the northeast, Regent Square to the east, Swisshelm Park to the southeast, Glen Hazel and Hazelwood to the south-southwest, Greenfield to the southwest, and South Oakland and Central Oakland to the west.  Across the Monongahela River to the south-southeast, Squirrel Hill South runs adjacent to  Homestead."
Demographics -> Asian/Chinese community,"Per the October 17, 2019 issue of Pittsburgh Magazine, the area is also becoming Pittsburgh's new Chinatown with an influx of mainland Chinese students from Carnegie Mellon University.  The area celebrates Chinese New Year annually with a parade.  The area as of 2017 was about 17% Asian."
History -> Origins -> Civil War,"On December 24, 1860, protests broke out in the streets of Squirrel Hill after news arrived that the U.S. Secretary of War, John B. Floyd had ordered 124 cannons to be shipped from Allegheny Arsenal to two forts under construction in Louisiana and Texas. The inhabitants of Pittsburgh predicted that these weapons would be used against them if the South seceded, and this did indeed happen at Fort Sumter."
History -> Origins -> Incorporation into Pittsburgh,"Prior to 1868, the Squirrel Hill area was part of Peebles Township. This changed in 1868, when the area was annexed to the city of Pittsburgh.
Following the Civil War, several of Pittsburgh's richest families built multiple houses in the Woodland Road area between Fifth and Wilkins Avenues. In 1869, a women's college, the predecessor to Chatham University, was established nearby. Today, Chatham University owns several of these large houses.
In 1869, the clubhouse of the Pittsburgh Golf Club was built at the new Schenley Park Golf Course (The present building by Alden and Harlow was constructed in 1900.) In 1876, the Homewood Cemetery was established on 176 acres (0.71 km2) of land in Squirrel Hill.
Over the course of the 19th century, the focus of Squirrel Hill shifted from its riverfront at the Monongahela River to the area closest to Oakland and Shadyside. Ebdy's orchard was located near Shady Avenue and Murdoch's farm, known for its flowers, fruit trees, and vegetable trees was located on the hill above Oakland. By the late 1800s, the building of trolley lines caused a migration of wealthy executives outwards toward country estates and workers inward toward trolley lines. Farms were sold, and divided for new housing developments.

The growth of Squirrel Hill accelerated when an electric trolley was installed in 1893. The trolley line ran via Forbes Avenue and Murray Avenue, terminating in Homestead. The trolley line facilitated the building of hundreds of houses for the middle management of local factories, especially on Shady and Denniston Avenues near Aylesboro. Despite its trolley line, Murray Avenue remained a dirt road until 1920. Murray Avenue carried three Pittsburgh Railways trolley lines (#69 Squirrel Hill, #60 East Liberty-Homestead and #68 Homestead-Duquesne-Kennywood-McKeesport) until 1958 when the trolleys were replaced by buses. Bus routes 61A, 61B, 61C, 61D, 64, 67, and 69 pass through the area today.
Squirrel Hill grew even more with the opening of the Boulevard of the Allies in 1927, providing a direct link to downtown Pittsburgh. By the 1930s, most of the available land in Squirrel Hill had been filled.
In 1953, the Parkway and Squirrel Hill Tunnel were opened. They gave the area easier and quicker access from surrounding neighborhoods."
Cultural life,"Squirrel Hill's business area along Forbes and Murray avenues is referred to as ""upstreet"" (a contraction of ""up the street"") by locals. In addition to the many retail businesses in the neighborhood, there are a number of longtime, non-profit organizations, including a branch of the Carnegie Library of Pittsburgh, the Jewish Community Center of Greater Pittsburgh, the Jewish Family & Children's Service of Pittsburgh, the Children's Institute of Pittsburgh, and the Squirrel Hill Urban Coalition. Many annual events are hosted in Squirrel Hill by various community organizations."
Parks,"Squirrel Hill contains several nature-related points of interest. They include the Chatham University Arboretum, originally belonging to Andrew Mellon; Schenley Park; and Frick Park.
In 1889, Schenley Park was established on land donated from Mary Schenley, whose grandfather had been the owner of considerable amounts of land in the area. The original size of the park was 120 acres (0.49 km2), though it eventually expanded to 456 acres (1.85 km2) over the years.
When Henry Clay Frick died in 1919, he bequeathed 150 acres (0.61 km2) of undeveloped land to the City of Pittsburgh for use as a public park. He provided a $2 million trust fund to assist with the maintenance of the park. Frick Park on the eastern border of the Squirrel Hill neighborhood opened in 1927. Between 1919 and 1942, money from the trust fund was used to enlarge the park, increasing its size to almost 600 acres (2.4 km2). In February 2004, Frick Park grew with the addition of the Nine Mile Run stream restoration area which flows to the Monongahela River. The United States Army Corps of Engineers managed the restoration funded with $5 million in federal money and $2.7 million raised by the city. The restoration was completed in 2006."
Jewish community -> Antisemitic attacks,"On April 17, 1986, Neal Rosenblum, a 24-year-old rabbinical student visiting from Toronto, was shot and killed near his in-laws' house in Squirrel Hill. A suspect, 45-year-old Steven M. Tielsch, was arrested in 2000 after bragging to a fellow prison inmate that he had killed a Jew. Tielsch's first three trials ended in a deadlocked jury; he was convicted of third-degree murder in a fourth trial in 2002. The Supreme Court of Pennsylvania upheld the decision in 2007.

On October 27, 2018, Robert Bowers entered the Tree of Life – Or L'Simcha synagogue during Shabbat morning services and opened fire, killing 11 people and injuring six, including four police officers."
Education -> Public schools,"The Free Public School Act of 1834 ordered school districts not only to establish free schools but also to establish them in townships outside city limits. This affected Squirrel Hill, since it was part of Peebles Township at the time.
John Turner, who never learned to read or write but became a wealthy landowner, left land and money to the community to build a school when he died in 1844 at the age of 83. It was called Squirrel Hill School and was located on Bigelow Street at Hazelwood Avenue in the Greenfield neighborhood. Its successor closed in 1915 and was replaced by Roosevelt School, named for then-president Theodore Roosevelt. It closed in 1957. It was replaced by John Minadeo Elementary School, named for a ninth-grade school crossing guard who gave his life to save a group of young students in the path of a runaway car near Gladstone School.

After Peebles Township was annexed by Pittsburgh in 1868, Squirrel Hill became the Colfax School District, named for Schuyler Colfax, who was Vice President of the United States under President Ulysses S. Grant. The district had five numbered schools. Colfax No. 1 was located at Phillips Avenue and Beechwood Boulevard. Today, it is Pittsburgh Colfax K-8. Colfax No. 2 was on Beechwood Boulevard near the intersection of Saline Street and Hazelwood Avenue near Browns Hill Road. It closed in 1907 but was reopened in 1916 as the Roosevelt School Annex when Roosevelt became overcrowded. The annex closed in 1939. Colfax No. 3, on Forward Avenue, became Forward Avenue School and was named after Walter Forward, who was appointed U.S. Secretary of the Treasury by President John Tyler. The school was torn down in 1923, but its retaining wall still exists under the Parkway East bridge over Saline Street. Colfax No. 4, at Whipple and Commercial streets, became Swisshelm School and was named for Jane Swisshelm, a writer and abolitionist. Colfax No. 5, at Solway and Wightman streets, became Wightman School and was named for Thomas Wightman, owner of the Thomas Wightman Glass Company. Wightman operated as a school from 1897 to 1980 and since then has been used as a community center building and the home of Carriage House Children's Center. The building underwent extensive restoration and remodeling to make it one of only two older buildings in Western Pennsylvania to have LEED Gold certification.

Two other public elementary schools existed in Squirrel Hill. Brown School was built near the Monongahela River in 1888 on land donated by the Brown family. It closed in 1932. H.B. Davis School, named for a principal of the Frick Training School for Teachers, was located on Phillips Avenue. It opened in 1931 and closed in 1980.
Squirrel Hill's Taylor Allderdice High School opened in 1927. It was named for the president of the National Tube Company, who was also a member of the Pittsburgh Public Schools Board of Education, which was created in 1911 and given jurisdiction over all the public schools in the city, including those in Squirrel Hill."
Education -> Private schools,"Some private schools located in Squirrel Hill are St. Edmund's Academy, a private nonsectarian (formerly Episcopal) elementary school; Community Day School, a co-ed, independent Jewish day school for students ages 3 to grade 8; Hillel Academy of Pittsburgh; and Yeshiva Schools of Pittsburgh. The Day School at the Children's Institute of Pittsburgh serves children with a wide range of special needs."
Education -> Higher education,"Carnegie Mellon University (CMU) and Chatham University are located in Squirrel Hill, although many of CMU's buildings are in Oakland. CMU borders Pittsburgh's Oakland neighborhood, while Chatham borders Shadyside."
Local government,"The neighborhood is represented on Pittsburgh City Council by Corey O'Connor (District 5, Squirrel Hill South) and Erika Strassburger (District 8, Squirrel Hill North)."
