section,text
History -> Origins,"UPMC has its roots in the 1893 establishment of Presbyterian Hospital, which serves as the medical center's flagship facility, and the 1886 founding of the Western Pennsylvania Medical College. Soon after its founding, the medical college became affiliated with the Western University of Pennsylvania in 1892, and in 1908, was fully integrated into the university which that same year was renamed to the University of Pittsburgh. Already having worked out informal agreements for teaching and staffing privileges with a number of local hospitals, Pitt and its School of Medicine desired to establish an academic medical center, and by the mid-1920s had formed a plan with a coalition of city hospitals to have them relocate to the Oakland neighborhood of the city that the university had itself moved to in 1909. The university provided Presbyterian Hospital, then located on the North Side, with a tract of land on its campus for construction of a new hospital which broke ground in 1930 and was subsequently opened in 1938. By the end of the 1930s, the University of Pittsburgh had helped to form the ""University Medical Center"" which included Falk Clinic, Children's, Eye and Ear, Libby Steele Magee, Presbyterian General, and Women's Hospital, as well as the planned Municipal Hospital. In 1949, a new affiliation agreement between the university and Presbyterian Hospital established a three-tiered mission of patient care, research, and education and by 1951, the hospital name changed to Presbyterian University Hospital in order to reflect its close ties with the University of Pittsburgh. In 1958, the ""University of Pittsburgh Health Center"" was noted to comprise (1) Schools of Medicine, Dentistry, Pharmacy, Nursing, and the Graduate School of Public Health; (2) Presbyterian, Woman's, Children's, Eye and Ear, and Magee Hospitals; and (3) Falk Clinic, Western Psychiatric Institute and Clinic, Child Guidance Center, Salk Hall, and Central Blood Bank. Through the years, the university and the hospitals moved toward an ever-tightening alliance. In 1965, the university, Western Psychiatric Institute and Clinic which was managed by the School of Medicine, Presbyterian-University, Magee and Women's, Eye and Ear, and Children's Hospitals incorporated the University Health Center of Pittsburgh (UHCP). In 1969, Montefiore Hospital joined UHCP. In the 1970s, a new model of administration, in which clinical revenues were invested into research, was implemented at Western Psychiatric under the leadership of Thomas Detre. After guiding the psychiatric institute to become one of the largest recipients of National Institute of Health funding, Detre assumed leadership overseeing all six of the university's schools of health sciences in the early 1980s. Implementing the same administrative model in those units, the collective schools of the health sciences and medical center were ultimately transformed into one of the largest centers for biomedical research in the nation."
History -> Merger and expansion,"Beginning in 1986, members of the University Health Center including Presbyterian University Hospital, Falk Clinic, the Pittsburgh Cancer Institute and Eye & Ear Hospital began to consolidate. The consolidated group, re-termed the Medical and Health Care Division (MHCD) and led by Detre, became closely linked administratively, although Presbyterian University Hospital remained a separate entity. In 1990, MHCD acquired neighboring Montefiore Hospital which it merged with Presbyterian University Hospital to form the entity that was then renamed as the ""University of Pittsburgh Medical Center"" (shortened to UPMC), which was the first time the current name of the medical center was officially used. UPMC then began to form a network of affiliated specialty and community hospitals in 1994 termed the Tri-State Health System and established a for-profit health insurance division, UPMC Health Plan, which contracted with these hospitals. In 1996, UPMC had moved to acquire South Side, Aliquippa and Braddock hospitals. Meanwhile, UPMC began to merge with several of the already affiliated Tri-State hospitals including St. Margaret Memorial, Shadyside, and Passavant hospitals in 1997 and Magee-Womens Hospital in 1998. The acquisition and mergers of hospitals morphed the Tri-State Health System into a consolidation of hospitals that currently makes up a significant portion of the UPMC health system. Due to its immense growth of the medical center, as well as the university's concerns regarding the financial risks associated with its faculty practice plans in the face of national changes in health care reimbursements, the University of Pittsburgh and UPMC restructured their relationship and legally separated in 1998 thus launching UPMC as an independent nonprofit corporation with the university identified as a supported organization in its articles of incorporation. The university consolidated its physicians' practice plans and transferred them, along with the university's hospital management functions, to UPMC, with UPMC providing ongoing financial support to the university and its academic missions in return. The result was a mutually exclusive partnership of close affiliation formalized by a series of interrelated agreements and mutual executive oversights, which includes the sharing of numerous board members. This created a collaborative and coordinated decision-making model in which UPMC oversees all clinical activity, while the University of Pittsburgh remains the guardian of all academic priorities, particularly faculty-based research.
Expansion of UPMC continued in 2001 as Children's Hospital of Pittsburgh began merging with UPMC. Since then, UPMC's growth has continued, including a merger with Mercy Hospital in 2008; the opening of new Children's Hospital facilities in 2009; the integrations of Hamot Medical Center in Erie, Pennsylvania, in 2011, Altoona Regional Health System in Altoona, Pennsylvania, in 2013, and Jameson Health System in New Castle, Pennsylvania, in 2016; along with the continued expansion of overseas operations and for-profit business ventures. In October 2016, Susquehanna Health, a four-hospital system in north central Pennsylvania, became the first domestic hospital outside Western Pennsylvania to join the UPMC system. Subsequently, UPMC Susquehanna merged with two additional community hospitals in October of the following year.  In December 2016, WCA Hospital of Jamestown, New York, became the first domestic hospital outside of Pennsylvania in the UPMC system. In September 2017, Pinnacle Health, a seven-hospital system in South Central Pennsylvania, merged with UPMC and concurrently merged with Hanover Hospital. Cole Memorial hospital partnered with UPMC Susquehanna and merged with the UPMC system in March 2018. Somerset Hospital, located in Somerset, Pennsylvania, merged with UPMC on February 1, 2019. On February 3, 2020, Western Maryland Health System became the first Maryland hospital to join the UPMC system. Washington Health System merged with UPMC in 2024. UPMC now operates over 35 academic, community, and specialty hospitals in Pennsylvania and New York, as well as over 600 outpatient sites and doctors' offices, more than 50 facilities for physical, occupational, speech and specialty therapies, and 14 retirement and long-term care site, along with its international and for-profit ventures."
History -> Notable physicians and researchers,"Among the more renowned individuals who have worked with the University of Pittsburgh's medical center through its history are Jonas Salk who developed the polio vaccine while at the University of Pittsburgh, pediatric psychoanalyst Benjamin Spock, Peter Safar who pioneered CPR and the world's first intensive care training program at the medical center, and surgeon Thomas Starzl who perfected organ transplantation there. Other notable doctors include pathologist Maud Menten who is famous for her contributions to enzyme kinetics, leading orthopedic surgeon and sports medicine expert Freddie Fu, pioneering immunologist Niels Kaj Jerne, noted forensic pathologist and Allegheny County Coroner Cyril Wecht, Vitamin C's discoverer Charles Glen King, pediatrician Jack Paradise, leading head and neck cancer surgeon and otolaryngologist Eugene Nicholas Myers, laparoscopic liver resection pioneer David Geller, breast cancer treatment pioneer Bernard Fisher, and virologists Patrick Moore and Yuan Chang, who co-discovered Kaposi's sarcoma-associated herpesvirus."
History -> Famous patients,"UPMC has provided care to many celebrities, including Pennsylvania two-term governor and 1992 Presidential candidate Robert P. Casey for cancer, 10,000 Maniacs guitarist and founder Robert Buck for liver disease, sportscaster Bob Prince, publisher William Block, MCI CEO William G. McGowan, transplant recipient Stormie Jones and Pittsburgh mayors Bob O'Connor for lymphoma and Richard Caliguiri for amyloidosis. Pittsburgh Steelers quarterback Ben Roethlisberger was rushed to UPMC Mercy after his 2006 motorcycle crash and NASCAR driver Dale Earnhardt Jr., was treated for concussions in 2012., Pittsburgh Steelers running back, James Conner was treated at UPMC Hillman Cancer Center The golfer Arnold Palmer, a native of Latrobe, Pennsylvania, died at UPMC Shadyside on September 25, 2016. In 2017, Manchester United striker Zlatan Ibrahimović traveled to a UPMC facility to have surgery to repair his torn anterior cruciate ligament."
Operations -> Health Services Division,"UPMC's Provider Services consists of an array of clinical capabilities that includes hospitals, specialty service lines (including transplantation, behavioral health, cancer care, children's health, women's health, and rehabilitation services among other centers, institutes, and services), contract services (emergency medicine, pharmacy, and laboratory), supporting foundations, captive insurance programs, and approximately 3,600 employed physicians with associated practices. Hospital activity is categorized in four distinct groups: 1. academic hospitals that provide comprehensive clinical services and specialty services and that are the primary academic and teaching centers; 2. community hospitals that provide core clinical services to suburban populations; 3. regional hospitals that provide clinical core services to broader areas of the Western Pennsylvania region; and 4. pre- and post-acute care capabilities that include a network of home health services (UPMC HomeCare) and a network of 15 senior living facilities (UPMC Senior Communities)."
Operations -> Insurance Services Division,"UPMC Insurance Services, operating under the umbrella UPMC Health Plan brand, was founded in 1998 and includes various for-profit and non-profit health care financing initiatives. The integrated products of the UPMC Insurance Services Division include UPMC Health Plan (HMO), UPMC Health Network (PPO), Workpartners (workers' compensation and disability for employers), UPMC for Life (Medicare products), UPMC for You (HMO for Medical Assistance beneficiaries), UPMC for Kids, Community Care Behavioral Health Organization (a non-profit behavioral health PPO for Medical Assistance beneficiaries) and Community HealthChoices. These products combine to offer a full range of HMOs, PPOs, and EPOs for group health insurance, Medicare, CHIP, Medical Assistance, behavioral health, employee assistance, and workers' compensation products and services. UPMC also offers consumer-directed health plans like health savings accounts and health reimbursement arrangements. UPMC's provider networks total more than 138 hospitals and more than 16,500 physicians across Pennsylvania and has around three million members making it the largest insurer in Western Pennsylvania. It is also ranked as one of the top commercial health plans in the United States according to U.S. News & World Report. Also included in the Health Services Division are LifeSolutions, an employee assistance program; EBenefits Solutions, a web-based human resources consulting and benefits administration services; and Askesis Development Group, a software development group for behavioral health care."
Operations -> International and Enterprise Divisions,"UPMC's International and Commercial Services Division (ICSD) actively manages UPMC's for-profit companies that seek to commercialize its expertise in health care, advanced technologies, and management skills to global markets. Its stated goal is ""to advance UPMC's mission of positively transforming the way health care is provided in the U.S. and abroad, while revitalizing the economy of western Pennsylvania.""
UPMC International provides health care consulting and management services around the world in areas in various areas including clinical program development, facility and construction planning, clinical investigation, clinical and administrative staff training, and health information technology, and quality, safety, and Innovation.
UPMC Enterprises is an innovation and commercialization arm of UPMC which has invested over $700 million in about 80 different ventures in the past twenty years.  It seeks to create products and business arising from translational science and technology solutions by collaborating with entrepreneurs. In the past, it has also forged collaborations with companies such as dbMotion) and strategic and commercial product development partnerships with companies such as IBM and Alcatel-Lucent. UPMC Enterprises portfolio includes such companies as ALung, and Prodiogo Solutions."
Facilities -> Flagship facility -> UPMC Presbyterian campus -> UPMC Presbyterian,"UPMC Presbyterian is the historic and academic center of UPMC and is physically attached to the primary facility of the University of Pittsburgh School of Medicine, Scaife Hall. Located in Oakland, the hospital has 792 beds and includes a Level I Trauma Center. Listed among Becker's Hospital Review 50 Best Hospitals in America, UPMC Presbyterian's specialties include organ transplantation, cardiology, trauma, gastroenterology, and neurosurgery. The School of Medicine uses UPMC Presbyterian for research and graduate programs."
Facilities -> Flagship facility -> UPMC Presbyterian campus -> UPMC Montefiore,"UPMC Montefiore, part of UPMC Presbyterian, was founded as Montefiore Hospital in 1908 by the Ladies Hospital Aid Society as a hospital for Jewish physicians and patients. Montefiore Hospital affiliated with the University of Pittsburgh School of Medicine in 1957 and joined UPMC in 1990. It is the home to the clinical transplantation facilities originally headed by transplant pioneer Thomas Starzl and is physically connected to UPMC Presbyterian and UPMC Eye and Ear by a series of pedestrian bridges."
Facilities -> Flagship facility -> UPMC Presbyterian campus -> UPMC Eye & Ear Institute,"UPMC Eye & Ear Institute is located in the Oakland neighborhood of Pittsburgh and is conjoined with the medical complex housing UPMC Presbyterian, UPMC Montefiore, the University of Pittsburgh School of Medicine, and associated medical research towers. UPMC Ear & Eye Institute is one of a few centers in the nation dedicated entirely to the management of problems related to otolaryngology and ophthalmology."
Facilities -> Flagship facility -> UPMC Presbyterian campus -> Clinical Laboratory Building,"UPMC's nine-story Clinical Laboratory Building (CLB) opened in 2013 and cost $39 million. The CLB is located in the Oakland neighborhood and is situated between Magee-Womens Hospital and UPMC Presbyterian Hospital. Much of UPMC's laboratory testing is performed within the CLB. An extensive pneumatic tube system connects the CLB with UPMC hospitals that are in the Oakland neighborhood (Presbyterian, Magee-Womens, Montefiore) to facilitate the transport of specimens from the hospitals to the laboratories."
