section,text
History -> Creation -> Establishment of Frick Collection Inc.,"Frick died in 1919 at the age of 69, bequeathing the house as a public museum for his art collection. His widow Adelaide Howard Childs Frick continued living in the mansion with her daughter Helen; if Adelaide died or moved away, the house would be converted to a public museum. At the time, the collection alone was worth $30 million, and Frick also provided a $15 million endowment for the maintenance of the collection. Nine people, including Adelaide, Helen, and Helen's brother Childs, were named as trustees of his estate; Childs served as the head of the Frick estate's board of trustees until his death in 1965. Per the terms of Frick's will, the trustees moved to incorporate Frick's art collection in April 1920, submitting articles of incorporation to the New York state government. The Frick Collection Inc. was incorporated that month.
The New York and Pennsylvania state governments fought over which government should collect taxes from Frick's estate. Amid this dispute, the collection was reassessed at $13 million in 1921; this figure was repeated in a revised appraisal of Frick's estate that was filed with the New York state government in 1923. Meanwhile, Helen Frick studied plans for the Witt Library in London in the early 1920s, as she wanted to create a library for Frick's personal collection. Helen catalogued most of the collection over the next decade. The Frick Art Reference Library was organized at the mansion after Frick's death, and a dedicated library building opened the next year. During the 1920s, the library added thousands of volumes and photographs to its holdings. Over the years, four additional trustees had to be appointed after their predecessors died."
History -> Creation -> Opening of museum,"After Adelaide Frick's death in October 1931, the trustees were finally allowed to open the house to the public; they announced in January 1933 that the collection would likely open to the public within a year. John Russell Pope was hired to alter and enlarge the house. Frederick Mortimer Clapp, who had joined the Frick Collection as an advisor in 1931, was hired as the museum's first director. Work on the mansion began in December 1933. A new library wing was constructed on 71st Street to replace the original library. Other modifications included a new storage vault and renovations of the Frick family's living space. The museum's opening, originally scheduled for 1934, was postponed because of the complexity of the construction project.  The Frick estate also sued the city government in 1935 to obtain a property-tax exemption for the museum, and the taxes were waived the next year, as the Frick Collection was a public museum.
When the rebuilt library opened in January 1935, it had 200,000 photographs, 18,000 catalogs of art sales, and 45,000 books. The museum itself had a soft opening on December 11, 1935; the preview was noteworthy enough that the names of 700 visitors were published in that day's New York Herald Tribune. The Frick Collection officially opened to the public five days later on December 16. When it opened, the museum did not charge admission fees, but staff distributed timed-entry tickets to prevent crowding. Although about 600 tickets were distributed daily to people who showed up in person, other visitors had to make reservations several weeks in advance due to high demand. Ropes were placed throughout the house to force visitors to follow a specific path. The galleries were originally closed on holidays, Sundays, and for a month in the middle of the year. Artworks were arranged based on how they blended in with the house's ambiance, rather than being arranged by year."
History -> 1930s to 1960s,"Within a year of the museum's opening, demand had declined enough that officials decided to scale down, and then eliminate, its timed-entry ticketing system. The ropes throughout the house were taken down, and visitors were allowed to visit the Frick House's rooms in any order. Museum officials also presented lectures five days a week during the late 1930s, and they started hosting afternoon concert series in November 1938; these concerts and lectures continued throughout Clapp's tenure at the museum. Clapp also obtained fresh flowers each day and placed them in the first-floor galleries for esthetic purposes. Three magnolia trees were planted on the grounds in 1939. To expand their land holdings, museum officials bought a neighboring townhouse at 9 East 70th Street in 1940 and used that building as storage space.
Museum officials constructed a vault in 1941 to protect the artwork from air raids. During World War II, the museum continued to host visitors, but some rooms were closed, and more than five dozen paintings and all of the sculptures were moved into storage. Museum officials took these pieces out of storage in May 1945 and restored them; other artworks in the house were rearranged and cleaned as well. The Frick acquired another townhouse at 7 East 70th Street in 1947 and replaced it with a service wing. By the late 1940s, the museum had cumulatively spent about $2.9 million in acquisitions since Frick's death. When John D. Rockefeller Jr. offered to donate several pieces of artwork in 1948, Helen Frick objected, arguing that the museum only accepted gifts from Frick family members. In the lawsuit that followed, a New York Supreme Court judge ruled that the terms of Frick's will did not prevent the museum from accepting external gifts; the court's Appellate Division upheld this ruling. Rockefeller, who had been on the board of trustees, resigned amid the dispute.
Clapp resigned in 1951 and was replaced by the museum's assistant director Franklin M. Biebel. Biebel established a decorative-arts conservation program, and the number of annual visitors nearly doubled under his tenure. The museum's collection remained largely unchanged over the next several years, as Helen Frick opposed any expansions, saying that her father would not have wanted items to be added. Helen resigned from the museum's board of trustees in 1961, when the board finally voted to accept Rockefeller's gift. Assistant director Harry D. M. Grier replaced Biebel, becoming the museum's third director in 1964. By the mid-1960s, the Frick had 160 portraits, 80 sculptures, and various other items in its collection. The Frick was open six days a week (except in August, when it was closed) and was still free to enter. The collection was small compared to that of the Metropolitan Museum of Art, which at the time had 365,000 items. Edgar Munhall was hired as the museum's first chief curator in 1965, a position he would hold for thirty-five years. As part of a master plan in 1967, the Frick's trustees drew up plans for an annex at 7 and 9 East 70th Street."
History -> 1970s to 1990s,"By the early 1970s, the museum recorded about 800 daily visitors and employed 75 staff members. The next year, the museum began asking visitors to pay an optional admission fee due to rising taxes and expenses. After Grier was killed in a traffic accident in 1972, Everett Fahy was appointed as the museum's fourth director in 1973. The museum announced plans to construct an annex at 5–9 East 70th Street. After the New York City Landmarks Preservation Commission (LPC) expressed concerns over the fact that the expansion would require the demolition of the Widener House at 5 East 70th Street, the museum announced a plan for a ""temporary garden"" on the 70th Street lots, which the LPC approved. The original annex was canceled that November, and Frick officials subsequently decided to build  a one-story wing on the Widener House's site. The annex had been proposed because, at the time, the mansion could accommodate only 250 people at once.
Under Fahy's tenure, the museum began hosting more temporary exhibits, which it had seldom held before Fahy took over. The Frick began charging admission for the first time in 1976. The annex was completed the next year, along with a garden, designed by British landscape architect Russell Page. The Frick renovated the Boucher Room and cleaned and rearranged its paintings during the following decade. By the mid-1980s, the museum displayed 169 works of art, and the galleries occupied 16 rooms. The museum periodically hosted chamber music performances in the Frick House's courtyard. It was relatively low-profile compared to others in New York City, only sporadically expanding its collection and hosting small temporary exhibitions. After Helen Frick died in 1984, the museum took over responsibility for the Frick Art Reference Library; initially, the library had no endowment as Helen had not provided anything for the library in her will. Ceiling lights were installed in the Fragonard and Boucher rooms in the 1980s.
Charles Ryskamp, the former director of the Pierpont Morgan Library, was appointed as the Frick's fifth director in December 1986 after Fahy's resignation, though he did not assume that position for another six months. Under Ryskamp's directorship, some of the paintings were rearranged or brought out of storage. By the 1990s, the art reference library was low on funds; the library had a $25 million endowment by 1993, and the Frick began charging ""frequent commercial users"" of the library that year. Through the 1990s, the Frick banned all children under the age of 10, as well as unaccompanied minors between ages 10 and 15, and the museum also did not have a café. The New York City government passed a law banning public institutions from discriminating by age in 1993, which would have forced the museum to start admitting children. Museum officials requested a waiver, saying that they would have to install barriers if children were allowed, and they received such a waiver in 1995. In addition, further lighting upgrades were made in the mid-1990s.
Ryskamp announced his retirement in 1997. After Samuel Sachs II was named as the museum's sixth director that May, the trustees tasked him with raising funds. Under Sachs's directorship, the museum launched a website in the 1990s, and replaced the lighting and hosted additional special exhibitions. Sachs also contemplated expanding the exhibition space, adding a café, and relocating the entrance to the house's garden. In addition, the museum began providing complimentary audio guides for the mansion and artworks and, in the early 21st century, added the Bloomberg Connects smartphone app. Museum officials also began allowing parties to be hosted in the Frick House. A group named Friends of the Fellows of the Frick Collection was formed to raise interest in the museum."
History -> 2000s and 2010s,"Colin Bailey was appointed as chief curator in 2000 after Munhall resigned. During the late 1990s, the Helen Clay Frick Foundation proposed moving its archives in Pittsburgh to the Frick Collection's archives, prompting an intra-family debate over whether the collections should be merged. The foundation's collection ultimately was split between the two cities in 2001, and most of the objects were sent to New York City. After attendance dropped following the September 11 attacks that year, the Andrew W. Mellon Foundation provided $270,000, in part to fund extended hours on Fridays. Sachs announced in January 2003 that he would resign as the museum's director in eight months, as the board of trustees had not renewed his contract. At the time of Sachs's resignation, the museum recorded 350,000 annual visitors, 20 percent more than in 1997, but it was running at a $1 million annual deficit. Annexes to the museum were proposed in 2001, 2005, and 2008, but all of these plans were canceled because it would have required an extended closure of the museum and still would not have provided sufficient space.
The art scholar Anne L. Poulet was hired in August 2003 as the Frick's first female director, and the museum was reorganized as a tax-exempt public charity shortly after Poulet became the director. Under Poulet's tenure, she replaced lighting in several galleries and rearranged some of the pieces. She also raised $55 million for renovations; the museum's facilities had become dated, and the basement exhibition space was no longer sufficient. Because of the Frick's classification as a charity, the museum had to raise a third of its budget from donations. The Frick created programs to attract major donors and art collectors, and it began charging admission fees for concerts in 2005. During the 2000s decade, the Frick did not acquire many additional items. In contrast to larger museums, it generally hosted small, detailed exhibits, though the number of short-term exhibitions at the Frick increased during the decade. Further restorations of the museum's galleries took place through the late 2000s to attract visitors.

Poulet announced her retirement in September 2010, and Ian Wardropper was hired as the museum's director in 2011. A sculpture gallery, designed by Davis Brody Bond, opened at the Frick House in December 2011, becoming the first new gallery at the museum in three decades. Bailey resigned as the chief curator in 2013, and Xavier F. Salomon was hired as the chief curator the same year. During the 2010s, the Frick began raising $290 million for its renovation. The collection had reached more than 1,100 works by the mid-2010s. In addition, the museum was hosting an average of five temporary exhibits per year. The Frick House's facilities were not adequate for the museum's modern needs. For example, paintings had to be carried into the museum through the house's front door, and portraits had to be placed in storage whenever the Frick hosted a visiting show. The concerts at the museum sometimes sold out as well.
In 2014, the museum announced plans for a six-story annex on 70th Street designed by Davis Brody Bond. Russell Page's garden on 70th Street would have been demolished to make way for the annex; this prompted opposition from residents and preservationists, and the Frick announced in June 2015 that it would draw up new designs. To attract younger visitors, the museum began hosting free events in the mid-2010s, such as First Fridays. The Frick hired Annabelle Selldorf to design a revised expansion plan for the museum, which was announced in April 2018; the LPC approved Selldorf's plans that June. The Frick then sought to relocate to the Solomon R. Guggenheim Museum temporarily, but the Guggenheim was available for only four months. By September 2018, the Frick was negotiating to take over the Whitney Museum's space at 945 Madison Avenue; the Frick finalized a two-year lease for that building in 2020."
History -> 2020s to present,"The Frick closed in mid-March 2020 due to the COVID-19 pandemic in New York City; the opening of the temporary location was delayed due to the pandemic. The museum's collection was moved to 945 Madison Avenue, which reopened as the Frick Madison in March 2021. The Frick Madison housed the museum's old masters collection, including 104 paintings, along with sculptures, vases, and clocks. Most of the 1,500-piece collection of artwork was placed in storage at 945 Madison Avenue, and about 300 works were placed on display. At the Frick Madison, the artwork was exhibited against stark dark gray walls, in contrast to the Frick House's ornate decoration; the paintings were also grouped according to their age and region of origin. The Frick Madison also included a café.
The museum had raised $242 million for its capital campaign by the end of 2023. Wardropper announced in January 2024 that he would resign the following year, after the Frick House's renovation was complete. The Frick Madison closed on March 3, 2024. The Henry Clay Frick House and Frick Art Reference Library were originally expected to reopen in late 2024, but this was later pushed back to early 2025. In September 2024, the Frick appointed Axel Rüger, the head of the Royal Academy of Arts in London, as the museum's director beginning in 2025."
Collection -> Visual arts collection -> Notable works in the original collection,"Some of the earliest works in Frick's collection were portraits of his family, created for his Pittsburgh residence. At the beginning of the 20th century, Frick bought works such as Rembrandt's Portrait of a Young Artist (possibly the first Old Master painting in the collection), Jean-Baptiste-Camille Corot's Ville d'Avray, Constant Troyon's A Pasture in Normandy, and Vermeer's Girl Interrupted at Her Music. From 1905 to 1915, Frick also acquired paintings such as Hals's Portrait of a Woman, Velázquez's Portrait of Philip IV in Fraga, Rembrandt's A Dutch Merchant, and Rembrandt's The Polish Rider.
After Frick had finished his own mansion, he brought over several paintings of his firstborn daughter Martha, who had died in her childhood. He also obtained 14 Fragonard panels from the collection of J. P. Morgan and moved the panels to his house's drawing room. At the time of the house's completion, he owned paintings by such artists as El Greco, Goya, Hals, Rembrandt, Romney, Titian, Anthony van Dyck, and Velázquez.  In the late 1910s, Frick acquired additional pieces from outside the Morgan collection, such as Hans Holbein's portrait of Thomas Cromwell, Rubens's Portrait of the Marquis Ambrose de Spinola, Rembrandt's An Old Woman Reflecting Over the Lecture, and Gainsborough's Mall between 1915 and 1916 alone. He also bought four Boucher panels, although he turned down the opportunity to buy additional panels. From 1917 through 1919, Frick obtained several pieces of Boucher tapestry furniture, Van Dyck's Countess of Clanbrazil, Hals's Portrait of a Man, Vermeer's Mistress and Maid, and a Gilbert Stuart portrait of George Washington."
Collection -> Visual arts collection -> Notable acquisitions after Frick's death,"In the half-century after Frick died, thirty objects were added to the original collection. After Frick's death but before the opening of the current museum, the Frick estate's trustees bought the Portrait of Comtesse d'Haussonville by Jean-Auguste-Dominique Ingres, as well as a painting by Duccio and the Coronation of the Virgin by Paolo Veneziano. The Giuseppe Bastiani painting Adoration of Magi was acquired in 1935. Works by Cimabue, Duccio, della Francesca, and Filippo Lippi entered the museum's collection for the first time between 1924 and 1950. Shortly after the museum opened, it acquired items such as a Renaissance-era panel by della Francesca, a portrait that Boucher painted of his wife, Jacques-Louis David's painting of a French noblewoman, Monet's Vétheuil in Winter, and a Paul Cézanne landscape.  This was followed in the 1950s by three Italian Renaissance paintings, David's portrait of Antonio Bartolomeo Bruni, and Jan van Eyck's Virgin and Child, with Saints and Donor. The collection had only one 17th-century French work until the 1960s, when the museum obtained Claude Lorrain's painting of the Sermon on the Mount; the museum also obtained della Francesca's Crucifixion during that decade.
The Frick did not acquire anything between c. 1968 and 1991, when the museum obtained its first Jean-Antoine Watteau painting, Portal of Valenciennes. The museum's other acquisitions in the 1990s and 2000s included one of Corot's oil sketches, two of Jean-Baptiste Greuze's portraits, and Gabriel de Saint-Aubin's The Private Academy. After former director Ryskamp died in 2010, he bequeathed some of his collection to the Frick. The museum's other acquisitions in the 2010s included a self-portrait by Bartolomé Esteban Murillo that had been owned by Henry Clay Frick's grandson. In 2023, the Frick obtained Giovanni Battista Moroni's painting Portrait of a Lady, the first Renaissance-era portrait of a woman in the collection."
Collection -> Other objects,"The modern-day museum's collection includes numerous works of sculpture and porcelain, in addition to 18th-century French furniture, Limoges enamel, and Oriental rugs. The objects in the collection include 18th-century tapestries that belonged to Louis XV and Louis XVI of France.
Frick had acquired some objects from the J. P. Morgan estate specifically to complement the visual art in his collection. Some of these acquisitions included 18th-century French sculptures and furniture, a hawthorn beaker, and Chinese porcelains. In one case, Frick paid $1.5 million for some of Morgan's 44 enamels and 225 bronzes. He also acquired 40 Limoges enamels from Morgan's collection in 1919, one of the last things he would personally purchase. Outside of the Morgan collection, Frick also bought the bronzes Bust of a Jurist by Danese Cattaneo, Antonio Galli by Federico Brandani, and Duke of Alba by Jacques Jonghelinck. Although Frick had planned a sculpture gallery to his home in the late 1910s, the lack of other statuary caused him to cancel the plan. Duveen displayed numerous marble busts in the Frick House while Frick decided whether to buy them.
A bust of Henry Clay Frick by Malvina Hoffman was gifted to the museum when it opened in 1935. Other acquisitions of sculpture in the mid-20th century included a Diana bust by Jean-Antoine Houdon, a 15th-century bronze figure of an angel,  and a pair of 15th-century Italian marble busts.  In the 1990s and 2000s, the Frick received Winthrop Edey's collection of timekeeping pieces, a 19th-century terracotta bust by Joseph Chinard, a marble bust by Houdon; a bust by Massimiliano Soldani Benzi, and a clock. Acquisitions since the 2010s have included 131 Meissen porcelains, as well as 28 objects from collector Alexis Gregory (including rare clocks and enamels)."
Collection -> Selected works,
