section,text
History -> Early years (1967–1984) -> Triumph of playoff berths and tragedy of Briere (1969–1974),"In the 1969 draft the Penguins selected Michel Briere who, although being chosen 26th, was soon drawing comparisons to Phil Esposito and Bobby Clarke. Joining the team in November, he finished as the second-place rookie scorer in the NHL (behind Bobby Clarke) with 44 points (57th overall), and third on the Penguins. Briere placed second in Calder Memorial Trophy voting for Rookie of the Year honors behind Chicago goaltender Tony Esposito. Briere led Pittsburgh to its first NHL playoff berth since the 1928 Pirates. The Penguins defeated the Oakland Seals in a four-game sweep in the quarterfinals, with Briere scoring the series-clinching goal in overtime. In the semi-final round, defending conference champions St. Louis Blues got the best of the Penguins during six games. Briere led the team in playoff scoring, recording five goals (including three game-winners) and eight points. Tragedy struck the Penguins just days after their playoff heroics. On May 15, 1970, Briere was in a car crash in his native Quebec, suffering brain trauma and slipping into a coma from which he would never recover; he died a year later. His number 21 jersey was never reissued, remaining out of circulation until it was formally retired in 2001.
In the 1970–71 season, the Penguins finished five games out of the playoffs with a 21–37–20 record, the fourth-worst record in the league. Pittsburgh achieved a playoff berth in 1972, only to be swept by the Chicago Black Hawks in the first round. Except for a handful of players like Ken Schinkel, Pronovost, Syl Apps Jr., Keith McCreary, agitator Bryan Watson and goaltender Les Binkley, talent was thin, but enough for the Penguins to reach the playoffs in both 1970 and 1972.
The Penguins battled the California Golden Seals for the division cellar in 1974, when Riley was fired as general manager and replaced by Jack Button. Button obtained Steve Durbano, Ab DeMarco, Bob ""Battleship"" Kelly and Bob Paradise through trades. The personnel moves proved successful, and the team improved to a 28–41–9 record, although they remained nine points away from a playoff berth.
However, in early 1975, the Penguins' creditors demanded payment of back debts, forcing the team into bankruptcy. The doors to the team's offices were padlocked, and it looked like the Penguins would fold or relocate. Around the same time, rumors began circulating that the Penguins and the California Golden Seals were to be relocated to Seattle and Denver respectively, the two cities that were to have been the sites of an expansion for the 1976–77 season. Through the intervention of a group that included former Minnesota North Stars head coach Wren Blair, the team was prevented from folding and remained in Pittsburgh, eventually being bought by shopping mall magnate Edward J. DeBartolo, Sr."
History -> Early years (1967–1984) -> Playoff runs and a uniform change (1974–1982),"Beginning in the mid-1970s, Pittsburgh iced some powerful offensive clubs, led by the likes of the ""Century Line"" of Syl Apps, Lowell MacDonald and Jean Pronovost. They nearly reached the Stanley Cup semi-finals in 1975, but were ousted from the playoffs by the New York Islanders in one of the only four best-of-seven-game series in NHL history where a team came back from being down three games to none. As the 1970s wore on, a mediocre team defense neutralized the Penguins' success beyond the regular season. Baz Bastien, a former coach and general manager of the AHL's Hornets, later became general manager. The Penguins missed the playoffs in 1977–78. Bastien traded prime draft picks for several players whose best years were already behind them, and the team would suffer in the early 1980s as a result. The decade closed with a playoff appearance in 1979 and a rousing opening series win over the Buffalo Sabres before a second-round sweep at the hands of the Boston Bruins.
The Penguins began the 1980s by changing their team colors; in January 1980, the team switched from wearing blue and white to their present-day scheme of black and gold to honor Pittsburgh's other sports teams, the Pittsburgh Pirates and the Pittsburgh Steelers, as well as the Flag of Pittsburgh. Both the Pirates and Steelers had worn black and gold for decades, and both had enjoyed world championship seasons. The Bruins protested this color change, claiming a monopoly on black and gold, but the Penguins defended their choice stating that the NHL Pirates also used black and gold as their team colors and that black and gold were Pittsburgh's traditional sporting colors. The NHL agreed, and Pittsburgh could use black and gold. The Penguins officially debuted the black and gold uniform in a game against the St. Louis Blues at the Civic Arena on January 30, 1980. On the ice, the Penguins began the 1980s with defenseman Randy Carlyle, and prolific scorers Paul Gardner and Mike Bullard but little else.
During the early part of the decade, the Penguins made a habit of being a tough draw for higher-seeded opponents in the playoffs. In 1980, the 13th-seeded Penguins took the Bruins to the limit in their first-round playoff series. The following season, as the 15th seed, they lost the decisive game of their first-round series in overtime to the heavily favored St. Louis Blues. Then, in the 1982 playoffs, the Penguins held a 3–1 lead late in the fifth and final game of their playoff series against the reigning champions, the New York Islanders. However, the Islanders rallied to force overtime and won the series on a goal by John Tonelli, who had tied the game before. It would be the Pens' final playoff appearance until 1989."
History -> Lemieux–Jagr era (1984–2005) -> Golden Age (1989–1997),"A herniated disc in Lemieux's back cut short his 1989–90 season, although he still amassed 123 points. However, the Penguins fell out of the playoff picture. They opted to strengthen their roster and support Lemieux in the 1990 off-season. Free-agent signings (Bryan Trottier) and trades (Joe Mullen, Larry Murphy, Ron Francis and Ulf Samuelsson) played a major part in this. Arguably no move was bigger during this time than when the Penguins drafted Jaromir Jagr with the fifth overall pick in the 1990 NHL Entry Draft. The first Czechoslovak player to be drafted into the NHL without first needing to defect to the West, Jagr became the Penguins' second franchise player, and quickly developed into a superstar offensive talent.
The roster overhaul culminated in the Penguins winning their first Stanley Cup title by defeating the Minnesota North Stars in the Stanley Cup Finals in six games, punctuated by an 8–0 victory in the deciding game, the largest margin of victory in a final Stanley Cup game in over 80 years. After the 1991 Stanley Cup Finals, the Penguins met with President George H. W. Bush, the first NHL team ever to visit the White House. The following season, the team lost coach Bob Johnson to cancer, and Scotty Bowman took over as coach. Under Bowman, they swept the Chicago Blackhawks to repeat as Stanley Cup champions in 1991–92.
Cancer revisited the Penguins in 1993 when Lemieux was tragically diagnosed with Hodgkin lymphoma. Only two months after the diagnosis, missing 24 out of 84 games, he came back to win his fourth Art Ross Trophy as scoring champion with 160 points, edging out Pat LaFontaine and Adam Oates. Despite the off-ice difficulties, Pittsburgh finished with a 56–21–7 record, the franchise's best regular season ever, winning the Presidents' Trophy. After Lemieux's return, the team played better than it ever had before, winning an NHL-record 17 consecutive games. Despite all of this success, the New York Islanders eliminated them in the second round of Game 7 in overtime.
The Penguins continued to be a formidable team throughout the 1990s. The stars of the Stanley Cup years were followed by the likes of forwards: Alexei Kovalev, Martin Straka, Aleksey Morozov, Robert Lang and Petr Nedved, and defensemen Sergei Zubov, Darius Kasparaitis and Kevin Hatcher. Despite the departure of many of the franchise's Stanley Cup-winning roster, the Penguins fielded enough talent to reach the first round of the playoffs in 1994 (where they lost to the Washington Capitals in six games), the second round in 1995 (where they lost to the New Jersey Devils in five games) and the conference finals in 1996 (where they lost to the Florida Panthers in seven games). The 1997 playoffs marked a turning point, as the Penguins suffered a first-round elimination at the hands of the rival Philadelphia Flyers in five games."
History -> Lemieux–Jagr era (1984–2005) -> Lemieux's retirement and return (1997–2001),"On April 6, 1997, the franchise was rocked when Mario Lemieux, citing ongoing health concerns and his disapproval with the way NHL hockey was being officiated, announced he would retire at the conclusion of the 1997 playoffs. Lemieux was so respected in the NHL, and his achievements over the course of his career were so great, that he was inducted into the Hockey Hall of Fame in the year he retired, the three-year waiting period being waived. His departure was the first in a series of events that would once again lead the Penguins into regular season stagnation, and to the brink of financial ruin.
The Montreal Canadiens eliminated the team in the first round of the playoffs in 1998, despite being the second-seeded team in the East. The following year, their playoff run ended in the second round when they lost to the Toronto Maple Leafs in six games. In 2000, the Penguins stunned the highly touted Washington Capitals 4–1 in the first round, only to fall to the Philadelphia Flyers 4–2 in the second round.
By this time, the lofty contracts handed out during the early 1990s were catching up with the Penguins. At one point, the team owed over $90 million to numerous creditors, leading then-owners Howard Baldwin and Morris Belzberg (who bought the Penguins after their first Stanley Cup win) to ask the players to defer their salaries to help pay the bills. When the deferred salaries finally came due, combined with other financial pressures, the Penguins were forced to file for Chapter 11 bankruptcy in November 1998.
Lemieux then stepped in with an unusual proposal to buy the team out of bankruptcy. The Penguins owed Lemieux $32.5 million in deferred salary, making him the team's largest individual creditor. He proposed recovering this money by converting it into equity—enough to give him controlling interest. He also vowed to keep the team in Pittsburgh. The NHL and the courts agreed, and Lemieux (with help from supermarket tycoon Ronald Burkle) assumed control on September 3, 1999, saving the franchise for the second time.
Lemieux again shocked the hockey world by announcing at a press conference on December 8, 2000, his intentions to return to the Penguins as an active player. On December 27, 2000, Lemieux stepped onto NHL ice for the first time in 44 months, officially becoming the first player–owner in NHL history. Lemieux helped lead the Penguins deep into the 2001 playoffs, highlighted by an overtime victory against the Buffalo Sabres in Game 7 of the second round. Darius Kasparaitis scored the series-clinching goal to advance the Penguins to the Eastern Conference Finals, where they lost in five games to the New Jersey Devils."
History -> Lemieux–Jagr era (1984–2005) -> Rebuilding (2001–2005),"The Penguins' attendance had dwindled in the late 1990s. In 1998–99, the club had an average attendance of 14,825 at home games, the lowest it had been since Lemieux's rookie year. Reducing revenue on top of the previous bankruptcy necessitated salary shedding. The biggest salary move was the trading of superstar Jaromir Jagr to the Washington Capitals in the summer of 2001. The Penguins missed the playoffs for the first time in 12 years in 2002, finishing in a tie for third-to-last in their conference. The following season they finished second-last. In the 2003 NHL Entry Draft, the Penguins selected goaltender Marc-Andre Fleury with the first overall pick.
The 2003–04 season was an ordeal with Lemieux missing all but 24 regular season games with a hip injury, and attendance dipping to an average of 11,877 (the lowest average of any NHL team), with just one sellout. As the season progressed, the Penguins signed new head coach (and former Penguins' player and commentator) Eddie Olczyk and opted not to include Fleury in the lineup for the bulk of the season. This culminated in the worst record in the NHL, with the team winning just 23 games. As in the 1980s, the Penguins' struggles were fortuitously concurrent with a string of NHL Entry Draft classes that would yield multiple world-class talents. The Penguins lost out on the first overall pick for the 2004 NHL Entry Draft (Alexander Ovechkin), which went to the Washington Capitals. However, Ovechkin's countryman, center Evgeni Malkin, was similarly highly regarded, and Pittsburgh took him with the second overall pick. However, a transfer dispute between the NHL and the International Ice Hockey Federation (IIHF) delayed his Pittsburgh debut.
By this point, the Penguins had collapsed financially since the Stanley Cup-winning years of the early 1990s. Their home venue, the Civic Arena, had become the oldest arena in the NHL, and Lemieux had tried unsuccessfully to cut a deal with the city for a new facility. With Pittsburgh uninterested in building a new hockey arena for the struggling Penguins, Lemieux began looking into the possibilities of selling or relocating the team to Kansas City, Missouri. A lockout prompted the cancellation of the 2004–05 NHL season. One of the many reasons for the lockout included disagreements on resolving the financial struggles of teams like the Penguins and the Ottawa Senators, which had filed for bankruptcy protection. During the lockout, the Penguins' players dispersed between the club's American Hockey League (AHL) affiliate, the Wilkes-Barre/Scranton Penguins, and to European leagues."
History -> Crosby–Malkin era (2005–present) -> Runner–up and Third Stanley Cup title (2006–2010),"Change came for the Penguins on October 18, 2006, when Evgeni Malkin made his NHL debut. He set the modern NHL record with a goal in each of his first six games. Malkin would record points in 16 consecutive games. The Penguins finished the 2006–07 season in fifth place in the Eastern Conference with a record of 47–24–11, totaling 105 points, only two points behind the Atlantic Division winners, the New Jersey Devils. It was the franchise's first 100-point season in 11 years and represented an enormous 47-point leap from the previous season. In the first round of the 2007 playoffs the eventual Stanley Cup runners-up, the Ottawa Senators, defeated the Penguins 4–1. At the season's end, rookies Malkin and Jordan Staal were finalists for the Calder Memorial Trophy, awarded to the Rookie of the Year, which Malkin won.
On March 13, 2007, Pennsylvania's Governor Ed Rendell, Allegheny County Chief Executive Dan Onorato, Pittsburgh Mayor Luke Ravenstahl and Mario Lemieux of the Penguins ownership group announced an agreement had been reached among the parties to build the long-sought arena. The state-of-the-art, multi-purpose facility, the Consol Energy Center, guaranteed that the Penguins would remain in the city of Pittsburgh. Following the announcement of the plan, the Lemieux ownership group announced they no longer had plans to sell the team. On June 8, 2007, a $325 million bond was issued, and the Penguins signed a 30-year lease on September 19, binding them to the city of Pittsburgh through 2040.
After a mediocre start to the 2007–08 season, Crosby and starting goaltender Marc-Andre Fleury were both injured long-term due to high right ankle sprains. In their absence, the team flourished because of the play and leadership of Malkin. On April 2, 2008, the Penguins clinched the Atlantic Division title—their first division title in 10 years—with a 4–2 win against rivals the Philadelphia Flyers. Malkin finished the season with 106 points for second place in the league and finished as a finalist for the Hart Memorial Trophy. The team launched into their first extended playoff run in many years, beating Ottawa 4–0, defeating the New York Rangers 4–1 and then defeating the Philadelphia Flyers 4–1 to clinch the Prince of Wales Trophy. Pittsburgh lost the 2008 Stanley Cup Finals to the Detroit Red Wings in six games, finishing the playoffs with a 14–6 record. Crosby finished the playoffs with 27 points (6 goals and 21 assists in 20 games), tying Conn Smythe Trophy-winner Henrik Zetterberg (13 goals and 14 assists in 22 games) for the playoff scoring lead.

In the 2008–09 season, Malkin won the Art Ross and was again a candidate for the Hart Memorial Trophy. Crosby finished third in League scoring with 33 goals and 70 assists for 103 points, despite missing five games. The Penguins' record dipped mid-season but lifted after Dan Bylsma replaced head coach Therrien. The effect was almost instantaneous, and the Penguins recovered enough to secure home-ice advantage in their first-round match up against the Philadelphia Flyers, whom the Penguins defeated in six games. It took seven games for the Penguins to win the next series against Washington, sending them to the Eastern Conference Finals, where they eliminated the Carolina Hurricanes in a four-game sweep. After defeating the Hurricanes, the Penguins earned their second consecutive trip to the Stanley Cup Finals against the Detroit Red Wings, to whom they lost the previous year. After losing Games 1 and 2 in Detroit, like the previous years, the Penguins won Games 3 and 4 in Pittsburgh. Each team won on home ice in Games 5 and 6. In Game 7 in Detroit, Maxime Talbot scored two goals, including the game-winner, as the Penguins won 2–1 to win their third Stanley Cup title. Malkin was awarded the Conn Smythe Trophy as the MVP of the playoffs.
During the 2009–10 season, Crosby scored 109 points (51 goals and 58 assists) in 81 games, winning the Maurice ""Rocket"" Richard Trophy as the NHL season's leading goalscorer. The Penguins, seeded fourth in the East, began their title defense, defeating the Ottawa Senators in six games. In the next round, the Penguins faced the Montreal Canadiens. The teams swapped wins in the series en route to the decisive Game 7, which the Penguins lost 5–2, ending their season and their tenure at Mellon Arena."
History -> Crosby–Malkin era (2005–present) -> New arena and injuries (2010–2015),"In 2010–11, the Penguins played their first game in the Consol Energy Center. On February 11, 2011, the Pittsburgh Penguins–New York Islanders brawl took place. A season-ending concussion suffered by Crosby and a knee injury to Malkin marred the season. The team left early in the playoffs, blowing a 3–1 series lead to Tampa Bay Lightning, with Fleury's goaltending called into question. With Crosby still sidelined with post-concussion syndrome, at the start of the 2011–12 season, Malkin led the Penguins' top line and dominated league scoring. He finished with 50 goals and 109 points as the Penguins earned 51 wins on the season. With Malkin's Art Ross-winning performance, and Crosby's late-season return from injury, the Penguins headed into the 2012 playoffs with high hopes of making a significant Stanley Cup run. However, their cross-state rivals, the Philadelphia Flyers, defeated the highly favored Penguins in six games. Malkin was later awarded the Hart Memorial Trophy and Lester B. Pearson award. Following the Penguins' disappointing playoff exit, general manager Ray Shero made changes to the team at the 2012 NHL Entry Draft for the upcoming 2012–13 season.
During the lockout-shortened 2012–13 season, the Penguins again fought through serious injury. At the end of the regular season, they finished atop the Eastern Conference, matching up against the New York Islanders in round one. The Penguins defeated the Islanders in six games, with Fleury struggling once again. The team then dispatched the Ottawa Senators in five games before being swept in the Conference Finals by the Boston Bruins, scoring just two goals in the entire four-game sweep. On June 13, 2013, Malkin signed an eight-year contract extension worth an annual average of $9.5 million.

In the 2013–14 season, the Penguins suffered numerous injuries throughout the campaign. Despite the adversity, the Penguins won the realigned, eight-team Metropolitan Division, though the club struggled in the playoffs, requiring six games to defeat the Columbus Blue Jackets, then losing to the New York Rangers in seven games despite leading the series 3–1 after four games. This collapse prompted Penguins ownership to fire general manager Shero, replacing him on June 6 with Jim Rutherford, the former general manager of the Carolina Hurricanes. Rutherford's first action as general manager was to fire head coach Dan Bylsma, and on June 25, he announced that Mike Johnston was hired as Bylsma's replacement. In the 2014–15 season, the Penguins led the Metropolitan Division for the first half of the season. However, after losing players to injuries and illnesses, including the mumps, the team fell to fourth in the Division. The Pens lost in five games to the New York Rangers in the first round of the playoffs. In the off-season, Rutherford traded several players and picks to acquire star winger Phil Kessel."
History -> Crosby–Malkin era (2005–present) -> Back to Back Stanley Cups and 50th Anniversary (2016–2017),"After acquiring Kessel, the Penguins had high expectations for the 2015–16 season. However, by December 12, 2015, the team was barely managing a winning season, posting a 15–10–3 record. The organization fired head coach Mike Johnston, and replaced him with Mike Sullivan, who had previously served as the head coach in Wilkes-Barre/Scranton. This move was followed by a series of trades by Jim Rutherford.

The Penguins qualified for the playoffs for the tenth consecutive season. They earned second place in the Metropolitan Division with 104 points. In the playoffs, the Penguins defeated the Rangers in a 4–1 series, the Capitals 4–2 and the Lightning 4–3 to win the Eastern Conference Championship, advancing to the Stanley Cup Finals against the San Jose Sharks. On June 12, 2016, the Penguins defeated the Sharks in a 4–2 series to win their fourth Stanley Cup title. Captain Sidney Crosby was awarded the Conn Smythe Trophy.
The Penguins opened their 50th anniversary season in the NHL as defending Stanley Cup champions, raising their commemorative banner on October 13, 2016, in a shootout victory over Washington. The Penguins faced the Columbus Blue Jackets in the opening round of the 2017 playoffs, defeating them in five games. In the second round, they played against their divisional rival, Washington, and faced them for the second-straight year in the same round, winning a seven-game series. In the Conference Finals, the Penguins eliminated the Ottawa Senators in seven games to advance to the Stanley Cup Finals, where they faced the Nashville Predators. The Penguins won the first two games of the finals and then lost the next two matchups before dominating the fifth and the sixth games of the series to win the Stanley Cup for the second straight year. By defending their title, the Penguins became the first team since the 1997–98 Detroit Red Wings to defend their title successfully and the first to do so in the salary cap era."
History -> Crosby–Malkin era (2005–present) -> Playoff streak (2017–2023),"Before the 2017–18 season, the Penguins lost longtime goaltender Marc-Andre Fleury in the 2017 NHL Expansion Draft to the Vegas Golden Knights. Nevertheless, the Penguins again qualified for the Stanley Cup playoffs with the second division playoff spot, finishing the regular season with 100 points. They defeated the Philadelphia Flyers in the first round in six games, but were defeated by the eventual Stanley Cup champion Washington Capitals in six games. In the next season, the Penguins clinched a playoff berth, but were swept by the New York Islanders in the First Round. In the following season, which was shortened by the COVID-19 pandemic, the team advanced to the 2020 playoffs, but were defeated by the Montreal Canadiens in the Qualifying Round. On February 9, 2021, the Penguins named Ron Hextall as their new general manager, after Jim Rutherford resigned from his post on January 27, because of personal reasons. Brian Burke was hired as president of hockey operations. On February 21, Crosby became the first player to reach 1,000 NHL games for the team. The Penguins won the East Division title, extending their playoff streak to 15 seasons. This became the longest active streak in North American sports as a result of the San Antonio Spurs missing the 2020 NBA playoffs. The 2020–21 season came to an end in Game 6 of the first round of the playoffs against the New York Islanders.
On November 29, 2021, Fenway Sports Group announced its intent to purchase a controlling stake in the Penguins. On December 31, 2021, they officially took over as majority owners of the Penguins.
In the First Round, the Penguins lost in seven games to the New York Rangers despite having a 3–1 series lead. The Game 7 loss marked the first time the Penguins lost a Game 7 on the road in franchise history after going 6–0 the previous six instances.
The 2022–23 season was marked with two milestones for the Penguins. On November 23, 2022, Evgeni Malkin played his 1,000th NHL game, becoming the second player in franchise history to play his 1,000th game in a Penguins uniform. This would be followed up only months later, when teammate Kris Letang would play his 1,000th game as well, on April 2, 2023, despite missing 18 games during the season. However, despite being in a playoff position midway in the season, the Penguins missed the playoffs for the first time since Crosby's rookie season in 2005–06, ending a 16-season playoff streak and resulting in Burke and Hextall's dismissals."
History -> Crosby–Malkin era (2005–present) -> Dubas era (2023-pres),"On June 1, 2023, Kyle Dubas was named the team's new president of hockey operations. On 6 August 2023, the Penguins traded for Norris Trophy winning defensemen Erik Karlsson in a three-team deal also involving the Montreal Canadiens. On February 18, 2024, the Penguins retired the no. 68 of franchise legend Jaromir Jagr in a pregame celebration, with Jagr becoming just the third Penguin to receive the honor. Prior to the NHL Trade Deadline, the Penguins parted ways with longtime and fan favourite forward Jake Guentzel, trading him to the Carolina Hurricanes.  Despite the trades, and a late season playoff push, the Penguins were eliminated from playoff contention for the second consecutive year on the penultimate night of the season after the Red Wings defeated the Montreal Canadiens in overtime while the Capitals defeated the Philadelphia Flyers, clinching the final spot as the second wild card."
