section,text
History,"Professional baseball in the Pittsburgh area began in 1876 with the organization of the Allegheny Base Ball Club, an independent (non-league) club based in a then-separate city called Allegheny City, across the Allegheny River from Pittsburgh. The team joined the minor league International Association in 1877, only to fold the following season. On October 15, 1881, Denny McKnight held a meeting at Pittsburgh's St. Clair Hotel to organize a new Allegheny club, which began play in 1882 as a founding member of the American Association. Chartered as the Allegheny Base Ball Club of Pittsburgh, the team was listed as ""Allegheny"" in the standings, and was sometimes called the ""Alleghenys"" (rarely the ""Alleghenies"") in that era's custom of referring to a team by its pluralized city or club name. After five mediocre seasons, Pittsburgh became the first A.A. team to switch to the older National League in 1887.

Before the 1890 season, almost all of the Alleghenys' best players bolted to the Players' League's Pittsburgh Burghers. The Players' League collapsed after the season, and the players were allowed to go back to their old clubs. However, the Alleghenys also scooped up highly regarded second baseman Lou Bierbauer, who had previously played with the A.A.'s Philadelphia Athletics. Although the Athletics had failed to include Bierbauer on their reserve list, they loudly protested the Alleghenys' move. In an official complaint, an AA official claimed the Alleghenys' signing of Bierbauer was ""piratical"". This incident quickly accelerated into a schism between the leagues that contributed to the demise of the A.A. Although the Alleghenys were never found guilty of wrongdoing, their allegedly ""piratical"" act gained them the occasional nickname ""Pirates"" starting in 1891. Within a few years, the nickname caught on with Pittsburgh newspapers. The nickname was first acknowledged on the team's uniforms in 1912. 
After almost two decades of mediocre baseball, the Pirates' fortunes began to change at the turn of the 20th century. The Pirates acquired several star players from the Louisville Colonels, who were slated for elimination when the N.L. contracted from 12 to 8 teams. (The franchises did not formally consolidate; the player acquisitions were separate transactions.) Among those players was Honus Wagner, who would become one of the first players inducted to the Baseball Hall of Fame. The Pirates were among the best teams in baseball in the early 1900s, winning three consecutive National League pennants from 1901 to 1903 and participating in the first modern World Series ever played, which they lost to Boston. The Pirates returned to the World Series in 1909, defeating the Detroit Tigers for their first-ever world title. That year, the Pirates moved from Exposition Park to one of the first steel and concrete ballparks, Forbes Field.
As Wagner aged, the Pirates began to slip down the National League standings in the 1910s, culminating in a disastrous 51–103 record in 1917; however, veteran outfielder Max Carey and young players Pie Traynor and Kiki Cuyler, along with a remarkably deep pitching staff, brought the Pirates back to relevance in the 1920s. The Pirates won their second title in 1925, becoming the first team to come back from a 3–1 deficit in the World Series. The Pirates returned to the World Series in 1927 but were swept by the Murderer's Row Yankees. The Pirates remained a competitive team through the 1930s but failed to win the pennant, coming closest in 1938 when they were passed by the Chicago Cubs in the final week of the season.
Despite the prowess of Ralph Kiner as a slugger, the Pirates were mostly miserable in the 1940s and 1950s. Branch Rickey was brought in to rebuild the team, which returned to the World Series in 1960. They were outscored over the course of the series by the Yankees, yet the Pirates won on a walk-off home run by Bill Mazeroski in the bottom of the 9th inning in Game 7. As of 2022, it is the only Game 7 walk-off home run in World Series history.
Led by right fielder Roberto Clemente, the Pirates remained a strong team throughout the 1960s but did not return to the World Series until 1971. Playing in the new Three Rivers Stadium, the Pirates defeated the favored Baltimore Orioles behind Clemente's hitting and the pitching of Steve Blass. In the same year on September 1, the Pirates became the first team to field an all-Black and Latino lineup.
Despite Clemente's death after the 1972 season, the Pirates were one of the dominant teams of the decade, winning the newly created National League East in 1970, 1971, 1972, 1974, 1975, and 1979. Powered by sluggers such as Willie Stargell, Dave Parker, and Al Oliver, the team was nicknamed ""The Lumber Company."" Behind Stargell's leadership and the disco song ""We Are Family"" (which the team adopted as its theme song), the Pirates came back from a 3–1 deficit to once again defeat the Orioles in the 1979 World Series for the franchise's fifth championship. During the 1979 championship season, a Pittsburgh player was designated as Most Valuable Player in every available category: All-Star Game MVP (Dave Parker), NLCS MVP (Willie Stargell), World Series MVP (Willie Stargell), and National League MVP (Willie Stargell, shared with Keith Hernandez of St. Louis).

The Pirates sank back into mediocrity in the 1980s and returned to post-season play in the early 1990s behind young players like Barry Bonds, Bobby Bonilla, and Doug Drabek. The Pirates won three straight division titles from 1990 to 1992 but lost in the National League Championship Series each time, notably coming within one out of advancing to the World Series in 1992. Several of the team's best players, including Bonds and Drabek, left as free agents after that season.

With salaries rising across baseball, the small-market Pirates struggled to keep pace with the sport and they posted a losing record for 20 consecutive seasons, a record among North American professional sports teams. Even the opening of a new stadium in 2001, PNC Park, did little to change the team's fortunes. The Pirates finally returned to the postseason in 2013 behind National League MVP Andrew McCutchen, defeating the Cincinnati Reds in the Wild Card Game. They were eliminated in five games in the next round by the St. Louis Cardinals. That season, the Pirates also became the seventh MLB team to reach 10,000 all-time  wins. On Opening Day 2015 the Pirates' loss was the team's 10,000th making the Pirates the fourth MLB team to achieve this distinction, following the Philadelphia Phillies, Atlanta Braves, and the Chicago Cubs. The Pirates returned to the postseason in 2014 and 2015 and lost the Wild Card game both times and have not qualified for the playoffs since then."
Ballpark -> Former ballparks,"The Pirates' first home was Exposition Park, located a couple blocks west of the current location of PNC Park. The Pirates split their early years between that ballpark and Recreation Park, which was located further inland from the flood-prone Allegheny River. The Pirates moved back to Exposition Park for good in 1891, and remained there until the 1909 season. The park hosted the first modern World Series ever played in 1903 but by the end of the decade the wooden structure was too small for the Pirates' growing fanbase. Exposition Park hosted several minor league teams before being razed prior to 1920. The site is currently occupied by a parking lot and several restaurants, although a historical marker near the intersection of West Gen. Robinson Street and Tony Dorsett Drive notes it was the location of the first World Series.

In the middle of the 1909 season, the Pirates moved into Forbes Field in Oakland, which would serve as the club's home for the next 61 years. Built at a cost of $1 million, the park was the first three-tiered steel-and-concrete ballpark in the nation. Forbes Field was expanded several times over the decades, with capacity almost doubled from its initial 23,000 in 1909 to 41,000 in 1925 (although it was reduced to 35,000 in its later years). Pirates owner Barney Dreyfuss ""hated cheap home runs and vowed he'd have none in his park"", which led him to design a large playing field for Forbes Field. When a large grandstand was constructed down the right field line in the early 1920s, reducing the distance to 300 feet from home plate, Dreyfuss had a 28-foot screen erected. Despite this, Forbes Field is remembered for several famous home runs: the final three homers of Babe Ruth's career on May 25, 1935 and Bill Mazeroski's championship-winning blast in Game 7 of the 1960 World Series. The park also hosted football games for the Pittsburgh Steelers and University of Pittsburgh ""Pitt"" Panthers. Located in a sparsely populated area of the city when it opened in 1909, by the 1960s Forbes Field was surrounded by the University of Pittsburgh campus. The Pirates left the ballpark midway through the 1970 season and the stadium was demolished the following year. Sections of the outfield wall remain standing along Roberto Clemente Drive, and the home plate used in the stadium's final game remains preserved in the University of Pittsburgh's Posvar Hall.
The Pirates moved into the multipurpose Three Rivers Stadium in 1970, which they shared with the Steelers. Like other multi-purpose stadiums popular at the time, Three Rivers featured extensive box seats, a turf playing field, and moveable seating sections to accommodate both football and baseball. Three Rivers ended up being much better suited for the former than the latter, and the Pirates struggled to draw fans despite their on-field success in the 1970s. By the 1990s, the Pirates were threatening to leave Pittsburgh unless a new, baseball-only stadium was constructed. The Pirates played their final game at Three Rivers on October 1, 2000, and the stadium was demolished the following winter. The site is currently occupied by parking lots and Stage AE, although one of the stadium's entrance markers remains standing near Acrisure Stadium. In 2012, members of the Society for American Baseball Research marked and painted the home plate and first base of the former stadium on the 40th Anniversary of Roberto Clemente's 3,000th hit."
Ballpark -> Spring Training,"Since 1969, the Pirates have held Spring Training at LECOM Park in Bradenton, Florida, which is also used for the Pirates' minor league team, the Bradenton Marauders. Constructed in 1923, LECOM Park is the oldest stadium still in use for Spring Training and the second-oldest minor league park, behind only Jackie Robinson Ballpark in Daytona Beach, which dates to 1914. It is also the third oldest stadium currently used by a major league team after Fenway Park, built in 1912, and Wrigley Field, built in 1914. Built in a Florida Spanish Mission style, LECOM Park underwent two major renovations in 1993 and 2008, the latter of which added lights. The park was formerly named ""McKechnie Field,"" for Bradenton resident and Baseball Hall of Fame great Bill McKechnie, who led the Pirates in 1925; since 2017 it has been named for the Lake Erie College of Osteopathic Medicine, which has its main campus in Erie, Pennsylvania, and also a campus in Bradenton. Pirate City, the site of the Pirates' Spring Training complex, is located a few miles east of LECOM Park."
Logos and uniforms,"The Pirates have had many uniforms and logo changes over the years, with the only consistency being the ""P"" on the team's cap. Like other teams in Major League Baseball, the Pirates predominantly favored a patriotic red, white and blue color scheme through the first half of the 20th Century. During this time, the Pirates predominantly wore a blue cap, with either a red or white P. The uniforms were plain, often including a simple ""P"" if anything at all. The team's name was first acknowledged in 1912, with a pinstripe jersey that had ""Pirates"" running vertically down the placket. The team's name would not appear on the club's uniforms again until they were added to the road uniforms in 1933, this time written horizontally in a more ornate style. An image of a pirate's head appeared on the home and road jerseys for the 1940 and 1941 seasons (this image would be reused for the team's logo in the 1980s and 1990s), and ""Pittsburgh"" first appeared on the road uniforms in 1942.
In 1948, the team broke away from the patriotic ""Red, White, & Blue"" color scheme when they adopted the current black & gold color scheme, to match that of the colors of the Flag of Pittsburgh and, to a lesser extent at the time, the colors of the then-relatively unknown Pittsburgh Steelers of the National Football League. The Pirates had made a similar change to black and gold in 1924, but the change did not last beyond that season. Along with the San Francisco Giants, the Pirates are one of two pre-expansion National League teams that completely changed their colors, although red returned as an ""accent color"" in 1997 and remained until 2009.
In the late 1950s, the team adopted sleeveless jerseys. While not an innovation by the team (the honor goes to the Cincinnati Reds), the Pirates helped popularize the look. Coinciding with the move into Three Rivers Stadium in 1970, the team switched to a darker shade of gold and changed their caps from black to gold with a black brim; they also introduced pullover nylon/cotton jerseys and beltless pants as part of their new uniform set (later to become polyester doubleknit). The Pirates became the first team in baseball to sport such a look, but it quickly became popular throughout the league, and the pullover style would become the prominent look of 1970s and 1980s baseball. The Pirates ditched the pullover style in favor of the traditional button-down style in 1991, one of the last teams to switch.

In 1976, the National League celebrated its 100th anniversary. To coincide with it, certain NL teams wore old-style pillbox hats complete with horizontal pinstripes. After the season, the Pirates were the only team to adopt the hats permanently, alternating between a black hat and a gold hat for several seasons. The Pirates switched back to a brighter shade of gold for the 1977 season, and became one of the first teams to wear third jerseys, following the Oakland Athletics. Starting in 1977, the Pirates had uniform styles which included two different caps and three different uniforms: an all-black set, an all-gold set, and a white set with black-and-gold pinstripes. The pants, tops and caps could all be worn interchangeably for different looks; the Pirates wore four different uniform combinations in the 1979 World Series. The pinstripes came off the white uniforms in 1980, but the Pirates continued to utilize the three uniform set until the 1985 season, when the team returned to the straightforward home whites/road grays combination. The solid black cap with a gold ""P"" returned in 1987 and has been the team's primary cap ever since.
After Kevin McClatchy purchased the team in 1996, the Pirates added a third jersey and utilized red as an accent color, including red brims on the team's caps. A sleeveless white jersey with pinstripes was worn as an alternate home jersey from 2005 to 2010, and a red alternate jersey was added for the 2007 and 2008 seasons. In 2009, the Pirates began wearing an alternate black jersey with a gold ""P"" at both home and on the road. From 2013 to 2019, the Pirates wore throwback uniforms for Sunday home games: the early 70s pullover uniforms from 2013 to 2015, and the gold top/black pants from the late 70s from 2016 to 2019.
Since the 2015 season, the Pirates have worn an alternate camo jersey for select home games. The camouflage alternates were updated for the 2018 season, now white with camo green wordmarks, numbers, piping, and patches.
Ahead of the 2020 season, the Pirates revived the script ""Pittsburgh"" wordmarks on their gray road and new black alternate road jerseys, which were unveiled on January 24, 2020. Script wordmarks had previously been seen on the road jerseys from 1990 until 2000. The alternate road jersey also features a Pirate wearing a re-colored bandana, yellow to match the theme of the jersey, and is worn with a black cap featuring the ""P"" logo outlined in black and yellow. In addition to these road uniforms, the Pirates continue to wear their white uniforms, the black alternate with the gold ""P"", and the camo alternate for games played at PNC Park.
In 2023, the Pirates retired the camo home alternate to comply with the new ""4+1"" rule, restricting teams to a home, away, two alternate uniforms and a City Connect uniform. The Pirates continued to wear the camo cap on occasion with the home white uniform. They also unveiled their City Connect uniform, featuring a gold top and black pants with a gold ""P"" cap with black brim. The jersey itself features the abbreviation of Pittsburgh ""PGH"". A closer look of the jersey feature the Three Elements. The inverted ""Y"", representing the three rivers that meet in Pittsburgh (Allegheny, Monongahela, and Ohio). The astroid, or the diamond shape star represents the famous ""Steelmark"" logo and the Check or the Checkbox, represents the Seal of Pittsburgh."
Rivalries -> Philadelphia Phillies,"The rivalry between the Philadelphia Phillies and the Pirates was considered by some to be one of the best rivalries in the National League until 1994. It began when the Pittsburgh Pirates entered the NL in 1887, four years after the Phillies.
The Phillies and the Pirates remained together after the National League split into two divisions in 1969. During the period of two-division play (1969–1993), the two National League East division rivals won the two highest numbers of division championships, reigning almost exclusively as NL East champions in the 1970s and again in the early 1990s. The Pirates nine, the Phillies six; together, the two teams' 15 championships accounted for more than half of the 25 NL East championships during that span.
After the Pirates moved to the National League Central in 1994, the teams face each other only in two series each year and the rivalry has diminished. However, many fans, especially older ones, retain their dislike for the other team, with regional differences between Eastern and Western Pennsylvania still fueling the rivalry."
Rivalries -> Cincinnati Reds,"The Pirates' biggest divisional rival is the Cincinnati Reds, given the two teams' proximity, the carryover of the cities' football rivalry, and the fact that the Reds and Pirates have met six times in the postseason, most recently in the 2013 National League Wild Card Game. In the 2010s, the two teams frequently hit each other with pitches, occasionally resulting in brawls."
Rivalries -> Divisional foes,"From 2013 to 2015, the Pirates battled with the St. Louis Cardinals for the Central Division title, with the Cardinals narrowly winning the division each year. The two teams faced off in the 2013 National League Division Series, which the Cardinals won in five games. The Pirates had a contentious battle with the Milwaukee Brewers for a Wild Card spot in 2014 and faced off against the Chicago Cubs in the 2015 National League Wild Card Game. The Cubs were major rivals for the Pirates earlier in their history, as both were among the best teams in baseball in the early 1900s and the Cubs eliminated the Pirates from the pennant race in the last week of 
the 1938 season."
Rivalries -> Interleague,"The Pirates play an annual interleague series against the Detroit Tigers. While the Pirates and Tigers only became ""natural rivals"" because the other AL and NL Central teams were already paired up, it has become popular with fans of both teams, possibly due to the rivalry between the National Hockey League's Detroit Red Wings and Pittsburgh Penguins. The two teams have several other connections as well. The Tigers' AA Minor League affiliate, the Erie SeaWolves, located near Pittsburgh, is a former affiliate of the Pirates and has retained the logo of a wolf wearing a pirate bandanna and eye patch. Additionally, Jim Leyland, former manager of both the Pirates (1986–1996) and the Tigers (2005–2013), remains popular in Pittsburgh where he resides. The Pirates led the regular-season series, 36–29. The two teams played in the 1909 World Series.
An on-and-off rivalry with the Cleveland Guardians stems from the close proximity of both cities, and features some carryover elements from the longstanding rivalry in the National Football League between the Cleveland Browns and Pittsburgh Steelers. Because the Guardians' designated interleague rival is the Reds and the Pirates' designated rival is the Tigers, the teams have only played periodically.  The teams played one three-game series each year from 1997 to 2001 and periodically between 2002 and 2022, generally only in years in which the AL Central played the NL Central in the former interleague play rotation. The teams played six games in 2020 as MLB instituted an abbreviated schedule focusing on regional match-ups. Beginning in 2023, the teams will play a three-game series each season as a result of the new ""balanced"" schedule.  The Pirates lead the series 21–18."
Roster,
Players of note -> Retired numbers,"Along with the league-wide retired number of 42, there are nine retired Pirates jersey numbers to date. As of June 12, 2019, Bill Mazeroski is the lone survivor of the Pittsburgh Pirates whose numbers are retired."
