section,text
History,"Pittsburgh was founded on November 27, 1758. The city was named by General John Forbes, in honor of British statesman William Pitt, the 1st Earl of Chatham. Early on, Pittsburgh played an important role in our country’s history. In the early 1800s, the city became known as the “Gateway to the West.” This nickname referenced the huge advantage Pittsburgh had by having the intersection of three major waterways. The Allegheny River and Monongahela River join together at what is known as the “point” to form the Ohio River. This intersection opened the gates for Pittsburgh to lead the way in the trade industry for products such as coal, timber, glass, natural gas, iron and limestone. By 1911, Pittsburgh manufactured half of the nation’s steel. Due to the amount of pollution given off by the steel factories the city had a new nickname - “The Smoky City.""
Throughout the years, Pittsburgh has made multiple changes and overcome many obstacles. The city has moved from the steel industry to become a leader in healthcare, education, technology, and financial services. What were once heavily polluted streets and riverfronts, have been transformed to create the modern vibrant Pittsburgh one sees today."
Population Statistics,"The Commonwealth of Pennsylvania is the sixth largest populated state in the United States. Pittsburgh is the second largest city in Pennsylvania and has an estimated of 310,000 people. The population consists of 51.9% females and 48.9% males, with the average age being 33. Pittsburgh, serves as the County Seat of Allegheny County which has an estimated population of 1.2 million. Pittsburgh serves as the principal city of the Pittsburgh Metropolitan Area, or Greater Pittsburgh. This 8 county area has an estimated population of 2.6 million."
Community,"The City of Pittsburgh offers everything a person might be looking for in a home, with its wonderful shopping areas, great restaurants, and beautiful views. Pittsburgh is known for having more named neighborhoods than any American city. Ninety distinct communities collectively create the culture of Pittsburgh. The Strip District is a wonderful market spot known for its variety of food and an excellent shopping with unique stores. The neighborhoods known as Shadyside, Beechview, or the West End are other fantastic region of Pittsburgh to find trendy shops and restaurants. If you’re looking for authentic homemade Italian food, Bloomfield or “Pittsburgh’s Little Italy” is the place for you. If you’re looking for more of a creative and artistic side of Pittsburgh, pass through the neighborhood of Lawrenceville.
East Liberty is known as for business and industries. Looking for a fun night out on the town? South Side has a fun and exciting nightlife full of clubs, sports bars, and laid-back pubs. Wanting to catch a game or spend some quality time with your loved ones? The North Shore or North Side is the place to be. Mount Washington is the high point of Pittsburgh; it gives the residents of Pittsburgh and tourists a beautiful view of this magnificent city. Finally, Downtown, like most downtown districts, has great food, dining, parks, plazas, and art museums."
Education,"Pittsburgh Public Schools strives to accelerate student achievement, eliminate racial inequalities, foster innovations and create positive atmosphere. There are a total of 23 elementary schools, 7 middle schools, 4 high schools, 11 schools serving grades K-8, 5 schools serving grades 6-12, and 4 specialty schools. The district is governed by the elected Board of Public Education of Pittsburgh. The City of Pittsburgh Controller and Treasurer serve dual roles in the School District of Pittsburgh.
For higher education there are countless and qualified options. The University of Pittsburgh, Duquesne University, Carlow University, Point Park University, and Carnegie Mellon University are just a few universities located in the City of Pittsburgh. There are even more just outside the city such as Robert Morris University, Washington & Jefferson, and La Roche College."
The Honorable Ebenezer Denny,"The Honorable Ebenezer Denny
Term: 1816-1817
Born in Carlisle, Pennsylvania - Denny led the Pennsylvania Regiment in the Revolutionary War and was at Yorktown when Cornwall surrendered. Denny was elected County Commissioner in 1797 and became a prosperous merchant. In 1816 when the Borough of Pittsburgh became a City, the Select and Common Council chose Denny as Pittsburgh’s first Mayor. Mayor Denny chose not to seek a second term, preferring to return to his business affairs.
"
The Honorable John Darraugh,"The Honorable John Darraugh
Term: 1817-1825
An Irish-born merchant, Darraugh was a local businessman. He with others founded The Bank of Pittsburgh. Darraugh was Burgess of the Borough of Pittsburgh when it became a City. After Mayor Denny refused a second one-year term, Darraugh accepted the position. He remained in office until 1825 when a new law forbade bank directors from holding executive office. During his tenure, Darraughhad continued to serve as President of the Bank of Pittsburgh.
No known liklness survies.
"
The Honorable John M. Snowden,"The Honorable John M. Snowden
Term: 1825-1828
A printer, Snowden arrived in Pittsburgh in 1811. He was elected to borough Council in 1813 and when Mayor Darraugh resigned, Council chose Snowden to be Mayor. During his term, two large ponds in Downtown Pittsburgh were drained and streets were improved. Twelve years after he retired as Mayor, Snowden became an associate judge.
"
The Honorable Magnus M. Murray,"The Honorable Magnus M. Murray
Term: 1828-1830 & 1831-1832
Mayor Murray was one of the handful of Pittsburgh Mayor’s to serve two nonconsecutive terms. During his first term the first waterworks, a reservoir on Grant's Hill, and new wharfs were built.
During his second, a plan to light city streets with gas was defeated by public outrage when Select Council members bought all the stock in in the firm the named to accomplish the work. When Council passed a law allowing dogs without collars to be shot on sight, Murray opposed the move and suggested that the number of dogs could be reduced more effectively by taxation.
Both Mayor Murray’s son-in-law - John Guthrie, and grandson - George Guthrie, served as Mayor decades later.
"
The Honorable Matthew B. Lowrie,"The Honorable Matthew B. Lowrie
Term: 1830-1831
Mayor Lowrie came to the Mayor’s Office when anti-secret society hysteria prevented Murray, a Mason from keeping office. Notably, the first “wards” were established in Pittsburgh under his tenure.
"
The Honorable Samuel Pettigrew,"The Honorable Samuel Pettigrew
Term: 1832-1836
Mayor Pettigrew was the last Mayor named by City Council and the first elected by popular election.
During his tenure, the waterworks began to draw water from the Allegheny River instead of wells that often went dry. In 1832 and 1833 a cholera epidemic hit Pittsburgh. In 1834, the Gas Works wereestablished, and the first public school opened with five pupils. Pettigrew also asked Council to appoint a joint committee to hire a police force.
"
